S.No,Pot ID,Combined pot id,Plant,Block ,Fertilizer_type ,Dose_(N kg/ha),Application_method,Treatment_Type,Date,Action_Item,Days after sowing,Plant_height(cm),Stem_count(No.),pH_BF_0days,EC_BF_0days(dS/m),Dry_Biomass (gm)__0days,Date,Action_Item,Days after first Dose,pH_2_AF_1stdose(15days),EC_2_AF_1stdose(15days),Date,Action_Item,Days after first dose,pH_3_before_2nddose(30days),EC_3_before_2nddose(30days),Dry_Biomass(gm)_before_2nddose(30days),Date,Action_Item,Days after first Dose,pH_4_after_2nddose(45days),EC_4_pH_4_after_2nddose(45days),CholorophyllContent_66days,pH_5_before_3rddose(60days),EC_5_before_3rddose(60days),Dry_Biomass (gm)_before_3rddose(60days),CholorophyllContent_before_3rddose(60days),Date,Action_Item,pH_6_after_3rddose(70days),EC_6_after_3rddose(70days),CholorophyllContent_95days,Date,Action_Item,Days after third  dose,pH_7_after_3rddose(90days),EC_7_after_3rddose(90days),Date,Action_Item,Days after third  dose,ph_8_atHD_105days,EC_8_atHD_105days,CholorophyllContent__atHD_105days,Dry_shoot_  Biomass(g)__atHD_105days,Dry_root_biomass(g)__atHD_105days,NH?-N (g/kg),NO?-N (g/kg),PO?-P (g/kg)
1,P1,1P1,P,1,None,0,Split,Control,3/09/2024,Before Fertilization ,35,24,2,6.34,0.29,3.66,8/09/2024,Measure ec and ph,5,5.5,0.3,20/09/2024,Measure ec and ph,18,5.06,0.3,4.46,3/10/2024,Second clip (before second split dose),30,5.16,0.21,35.9,5.31,1.75,5.02,37.25,3/11/2024,third clip before third dose,5.29,1.9,37.25,25/11/2024,Measured ph and ec only ,18,5.65,1.75,4/12/2024,Harvest Day,30,5.7,1.53,32.2,6.64,7.82,0.015443077,0.000584308,0.041389535
2,P2,1P2,P,1,UF,20,Split,Fertilizer,3/09/2024,Before Fertilization ,35,28,2,6.2,0.3,3.68,8/09/2024,Measure ec and ph,5,5.77,0.21,20/09/2024,Measure ec and ph,18,5.87,0.21,4.15,3/10/2024,Second clip (before second split dose),30,5.97,0.3,36.2,6.12,2.01,4.87,37.55,3/11/2024,third clip before third dose,5.92,1.53,37.55,25/11/2024,Measured ph and ec only ,18,5.75,2.01,4/12/2024,Harvest Day,30,5.89,2.35,29.6,7.2,6.54,0.001653398,0.001414563,0.041616018
3,P3,1P3,P,1,UF,40,Split,Fertilizer,3/09/2024,Before Fertilization ,35,30,2,6.35,0.36,3.76,8/09/2024,Measure ec and ph,5,4.98,0.211,20/09/2024,Measure ec and ph,18,4.58,0.211,4.41,3/10/2024,Second clip (before second split dose),30,5.21,0.22,36.5,5.36,1.81,5.7,37.85,3/11/2024,third clip before third dose,5.16,1.87,37.85,25/11/2024,Measured ph and ec only ,18,5.12,1.81,4/12/2024,Harvest Day,30,5.18,2.03,37.5,9.25,10.42,0.001315464,0.004580412,0.046735772
4,P4,1P4,P,1,UF,60,Split,Fertilizer,3/09/2024,Before Fertilization ,35,32,2,6.4,0.2,3.852,8/09/2024,Measure ec and ph,5,4.95,0.2,20/09/2024,Measure ec and ph,18,4.99,0.2,4.71,3/10/2024,Second clip (before second split dose),30,6.12,0.29,38.2,6.27,0.9,5.83,39.55,3/11/2024,third clip before third dose,6.07,1.87,39.55,25/11/2024,Measured ph and ec only ,18,5.21,0.9,4/12/2024,Harvest Day,30,5.02,1.5,30.2,8.64,9.88,0.002287387,0.000927027,0.045834986
5,P5,1P5,P,1,UF,80,Split,Fertilizer,3/09/2024,Before Fertilization ,35,29,2,6.28,0.35,3.67,8/09/2024,Measure ec and ph,5,4.84,0.231,20/09/2024,Measure ec and ph,18,4.94,0.231,4.13,3/10/2024,Second clip (before second split dose),30,5.04,0.24,36.2,5.19,1.78,5.45,37.55,3/11/2024,third clip before third dose,4.99,2.39,37.55,25/11/2024,Measured ph and ec only ,18,4.82,1.78,4/12/2024,Harvest Day,30,5,1.67,30.6,8.33,10.19,0.00223119,0.00131865,0.040879167
6,P6,1P6,P,1,UF,100,Split,Fertilizer,3/09/2024,Before Fertilization ,35,34,2,6.31,0.35,3.62,8/09/2024,Measure ec and ph,5,4.96,0.321,20/09/2024,Measure ec and ph,18,4.99,0.321,4.55,3/10/2024,Second clip (before second split dose),30,4.89,0.211,36.1,5.04,1.96,5.97,37.45,3/11/2024,third clip before third dose,4.84,1.92,37.45,25/11/2024,Measured ph and ec only ,18,4.87,1.96,4/12/2024,Harvest Day,30,4.99,3.27,33.6,8.44,12.37,0.00139377,0.003551803,0.040497875
7,P7,1P7,P,1,UF,120,Split,Fertilizer,3/09/2024,Before Fertilization ,35,29,2,6.25,0.35,3.77,8/09/2024,Measure ec and ph,5,4.94,0.231,20/09/2024,Measure ec and ph,18,4.98,0.231,4.46,3/10/2024,Second clip (before second split dose),30,4.78,0.212,35.9,4.93,1.67,5.96,37.25,3/11/2024,third clip before third dose,4.73,1.78,37.25,25/11/2024,Measured ph and ec only ,18,4.888,1.67,4/12/2024,Harvest Day,30,4.78,2.01,31.9,8.81,9.9,0.001247647,0.001877647,0.038507143
8,P8,1P8,P,1,MF,60,One-time,Fertilizer,3/09/2024,Before Fertilization ,35,30,2,6.21,0.23,3.77,8/09/2024,Measure ec and ph,5,4.97,0.221,20/09/2024,Measure ec and ph,18,5.68,0.221,4.15,3/10/2024,Second clip (before second split dose),30,5.1,0.212,35.1,5.25,1.89,5.7,36.45,3/11/2024,third clip before third dose,5.05,1.81,36.45,25/11/2024,Measured ph and ec only ,18,5.56,1.89,4/12/2024,Harvest Day,30,5.54,2.34,36.6,6.59,4.83,0.00184186,0.00389103,0.029322152
9,P9,1P9,P,1,MF,120,One-time,Fertilizer,3/09/2024,Before Fertilization ,35,30,2,6.24,0.32,3.79,8/09/2024,Measure ec and ph,5,4.96,0.211,20/09/2024,Measure ec and ph,18,5.12,0.211,4.12,3/10/2024,Second clip (before second split dose),30,5.01,0.27,36,5.16,1.94,4.84,37.35,3/11/2024,third clip before third dose,4.96,1.84,37.35,25/11/2024,Measured ph and ec only ,18,5,1.94,4/12/2024,Harvest Day,30,5.81,2.5,34,7.22,11.61,0.002933557,0.003078523,0.027377834
10,P10,1P10,P,1,UF,120,One-time,Fertilizer,3/09/2024,Before Fertilization ,35,32,2,6.12,0.36,3.36,8/09/2024,Measure ec and ph,5,4.87,0.32,20/09/2024,Measure ec and ph,18,4.98,0.32,4.4,3/10/2024,Second clip (before second split dose),30,4.89,0.22,35.9,5.04,1.49,5.49,37.25,3/11/2024,third clip before third dose,4.84,1.57,37.25,25/11/2024,Measured ph and ec only ,18,5.4,1.49,4/12/2024,Harvest Day,30,5.41,1.52,21.5,6.81,10.56,0.001798148,0.000823148,0.026208333
11,P1,2P1,P,2,None,0,Split,Control,3/09/2024,Before Fertilization ,35,32,2,6.2,0.34,3.91,8/09/2024,Measure ec and ph,5,5.46,0.3,20/09/2024,Measure ec and ph,18,5.64,0.3,4.6,3/10/2024,Second clip (before second split dose),30,5.34,0.21,36,5.49,1.94,5.87,37.35,3/11/2024,third clip before third dose,5.29,1.96,37.35,25/11/2024,Measured ph and ec only ,18,5.44,1.94,4/12/2024,Harvest Day,30,6.1,1.53,29.9,6.64,6.37,0.001291071,0.000759821,0.045066176
12,P2,2P2,P,2,UF,20,Split,Fertilizer,3/09/2024,Before Fertilization ,35,30,2,6.25,0.28,3.85,8/09/2024,Measure ec and ph,5,4.88,0.212,20/09/2024,Measure ec and ph,18,4.98,0.212,4.75,3/10/2024,Second clip (before second split dose),30,5.08,0.231,43.9,5.23,1.67,5.95,45.25,3/11/2024,third clip before third dose,5.03,1.71,45.25,25/11/2024,Measured ph and ec only ,18,5.12,1.67,4/12/2024,Harvest Day,30,5.5,2.28,35.9,8.6,8.06,0.001689666,0.00406231,0.049481884
13,P3,2P3,P,2,UF,40,Split,Fertilizer,3/09/2024,Before Fertilization ,35,31,2,6.24,0.31,3.78,8/09/2024,Measure ec and ph,5,4.92,0.27,20/09/2024,Measure ec and ph,18,5.02,0.27,4.67,3/10/2024,Second clip (before second split dose),30,5.12,0.211,39.8,5.27,0.9,5.66,41.15,3/11/2024,third clip before third dose,5.07,1.79,41.15,25/11/2024,Measured ph and ec only ,18,5.05,0.9,4/12/2024,Harvest Day,30,5.65,4.74,31.7,8.44,8.78,0.007882154,0.001753846,0.043565217
14,P4,2P4,P,2,UF,60,Split,Fertilizer,3/09/2024,Before Fertilization ,35,39,2,6.28,0.32,3.78,8/09/2024,Measure ec and ph,5,4.28,0.24,20/09/2024,Measure ec and ph,18,4.98,0.24,4.9,3/10/2024,Second clip (before second split dose),30,4.98,0.231,25.7,5.13,2.01,5.98,27.05,3/11/2024,third clip before third dose,4.93,2.25,27.05,25/11/2024,Measured ph and ec only ,18,5.123,2.01,4/12/2024,Harvest Day,30,5.27,2.28,37.8,6.7,6,0.00614459,0.008076393,0.03641886
15,P5,2P5,P,2,UF,80,Split,Fertilizer,3/09/2024,Before Fertilization ,35,31,2,6.31,0.25,3.87,8/09/2024,Measure ec and ph,5,5.31,0.211,20/09/2024,Measure ec and ph,18,4.95,0.211,4.4,3/10/2024,Second clip (before second split dose),30,4.97,0.321,40.22,5.12,1.81,5.94,41.57,3/11/2024,third clip before third dose,4.92,1.71,41.57,25/11/2024,Measured ph and ec only ,18,4.98,1.81,4/12/2024,Harvest Day,30,4.98,2.35,34.3,8.08,10.38,0.001801967,0.002065574,0.04434715
16,P6,2P6,P,2,UF,100,Split,Fertilizer,3/09/2024,Before Fertilization ,35,32,2,6.4,0.35,4.13,8/09/2024,Measure ec and ph,5,4.99,0.29,20/09/2024,Measure ec and ph,18,4.98,0.29,4.4,3/10/2024,Second clip (before second split dose),30,4.78,0.2,35.6,4.93,1.96,6.56,36.95,3/11/2024,third clip before third dose,4.73,1.98,36.95,25/11/2024,Measured ph and ec only ,18,4.89,1.96,4/12/2024,Harvest Day,30,4.9,2.01,36.7,8.38,8.79,0.016234579,0.005194393,0.029803247
17,P7,2P7,P,2,UF,120,Split,Fertilizer,3/09/2024,Before Fertilization ,35,18,2,6.34,0.29,3.77,8/09/2024,Measure ec and ph,5,4.78,0.21,20/09/2024,Measure ec and ph,18,4.88,0.21,4.22,3/10/2024,Second clip (before second split dose),30,4.74,0.3,35.6,4.89,1.75,5.3,36.95,3/11/2024,third clip before third dose,4.69,1.71,36.95,25/11/2024,Measured ph and ec only ,18,4.76,1.75,4/12/2024,Harvest Day,30,4.82,1.62,29.2,7.25,6,0.001392929,0.009073737,0.035398352
18,P8,2P8,P,2,MF,60,One-time,Fertilizer,3/09/2024,Before Fertilization ,35,38,2,6.35,0.31,3.9,8/09/2024,Measure ec and ph,5,4.98,0.22,20/09/2024,Measure ec and ph,18,5.08,0.22,4.74,3/10/2024,Second clip (before second split dose),30,5.18,0.211,37.7,5.33,1.89,5.64,39.05,3/11/2024,third clip before third dose,5.13,2.75,39.05,25/11/2024,Measured ph and ec only ,18,5.12,1.89,4/12/2024,Harvest Day,30,5.94,2.26,38.6,6.39,7.53,0.008365075,0.003439701,0.039657061
19,P9,2P9,P,2,MF,120,One-time,Fertilizer,3/09/2024,Before Fertilization ,35,31,2,6.21,0.32,3.88,8/09/2024,Measure ec and ph,5,4.99,0.212,20/09/2024,Measure ec and ph,18,5.36,0.212,4.4,3/10/2024,Second clip (before second split dose),30,5.46,0.221,37,5.61,1.78,5.4,38.35,3/11/2024,third clip before third dose,5.41,1.81,38.35,25/11/2024,Measured ph and ec only ,18,5.24,1.78,4/12/2024,Harvest Day,30,5.42,2.21,32.2,7.53,5.58,0.003486726,0.000740708,0.03554845
20,P11,2P11,P,2,UF,120,One-time,Fertilizer,3/09/2024,Before Fertilization ,35,32,2,6.12,0.24,3.87,8/09/2024,Measure ec and ph,5,4.46,0.22,20/09/2024,Measure ec and ph,18,4.56,0.22,4.17,3/10/2024,Second clip (before second split dose),30,4.66,0.32,41.6,4.81,1.49,5.26,42.95,3/11/2024,third clip before third dose,4.61,1.79,42.95,25/11/2024,Measured ph and ec only ,18,4.44,1.49,4/12/2024,Harvest Day,30,4.9,1.65,35.4,8.46,6.54,0.011554601,0.011714724,0.041819301
21,P1,3P1,P,3,None,0,Split,Control,3/09/2024,Before Fertilization ,35,24,2,6.25,0.35,3.83,8/09/2024,Measure ec and ph,5,5.69,0.25,20/09/2024,Measure ec and ph,18,5.37,0.25,4.6,3/10/2024,Second clip (before second split dose),30,5.23,0.212,30,5.38,1.49,4.51,31.35,3/11/2024,third clip before third dose,5.65,1.45,31.35,25/11/2024,Measured ph and ec only ,18,5.55,1.49,4/12/2024,Harvest Day,30,6.01,2.89,27.9,7.79,18.35,0.001774468,0.002502128,0.0380625
22,P2,3P2,P,3,UF,20,Split,Fertilizer,3/09/2024,Before Fertilization ,35,27,2,6.31,0.35,3.76,8/09/2024,Measure ec and ph,5,5.24,0.212,20/09/2024,Measure ec and ph,18,5.36,0.212,4.39,3/10/2024,Second clip (before second split dose),30,5.1,0.211,35.9,5.25,0.9,5.27,37.25,3/11/2024,third clip before third dose,5.05,1.71,37.25,25/11/2024,Measured ph and ec only ,18,5.35,0.9,4/12/2024,Harvest Day,30,5.6,2.35,26.6,8.29,15.12,0.003260194,0.001368932,0.025191288
23,P3,3P3,P,3,UF,40,Split,Fertilizer,3/09/2024,Before Fertilization ,35,34,2,6.35,0.36,3.88,8/09/2024,Measure ec and ph,5,5.34,0.22,20/09/2024,Measure ec and ph,18,5.12,0.22,5.11,3/10/2024,Second clip (before second split dose),30,5.15,0.22,22.9,5.3,1.75,6.41,24.25,3/11/2024,third clip before third dose,5.1,2.75,24.25,25/11/2024,Measured ph and ec only ,18,5.23,1.75,4/12/2024,Harvest Day,30,5.55,2.9,29.2,10.26,25.09,0.002183591,0.001471207,0.034464752
24,P4,3P4,P,3,UF,60,Split,Fertilizer,3/09/2024,Before Fertilization ,35,30,2,6.28,0.35,3.8,8/09/2024,Measure ec and ph,5,4.99,0.212,20/09/2024,Measure ec and ph,18,4.83,0.212,5.1,3/10/2024,Second clip (before second split dose),30,4.93,0.24,28.6,5.08,1.89,6.05,29.95,3/11/2024,third clip before third dose,4.88,2.25,29.95,25/11/2024,Measured ph and ec only ,18,5.13,1.89,4/12/2024,Harvest Day,30,5.35,3.1,31.3,9.86,13.97,0.00857181,0.002851335,0.029218668
25,P5,3P5,P,3,UF,80,Split,Fertilizer,3/09/2024,Before Fertilization ,35,32,2,6.4,0.2,3.87,8/09/2024,Measure ec and ph,5,4.5,0.192,20/09/2024,Measure ec and ph,18,4.6,0.192,4.98,3/10/2024,Second clip (before second split dose),30,4.7,0.29,32.2,4.85,1.94,6.04,33.55,3/11/2024,third clip before third dose,4.65,1.97,33.55,25/11/2024,Measured ph and ec only ,18,4.48,1.94,4/12/2024,Harvest Day,30,4.99,2.21,33.1,9.64,19.2,0.005297248,0.002133028,0.033638484
26,P6,3P6,P,3,UF,100,Split,Fertilizer,3/09/2024,Before Fertilization ,35,40,2,6.2,0.3,3.81,8/09/2024,Measure ec and ph,5,4.83,0.21,20/09/2024,Measure ec and ph,18,4.75,0.21,5.19,3/10/2024,Second clip (before second split dose),30,4.99,0.3,41.1,5.14,1.78,7.01,42.45,3/11/2024,third clip before third dose,4.94,1.96,42.45,25/11/2024,Measured ph and ec only ,18,4.81,1.78,4/12/2024,Harvest Day,30,5.04,1.87,29.3,11.65,13.34,0.002445808,0.001763174,0.054681818
27,P7,3P7,P,3,UF,120,Split,Fertilizer,3/09/2024,Before Fertilization ,35,32,2,6.24,0.32,3.87,8/09/2024,Measure ec and ph,5,4.78,0.213,20/09/2024,Measure ec and ph,18,4.77,0.213,5.35,3/10/2024,Second clip (before second split dose),30,4.98,0.27,42.4,5.13,2.01,6.95,43.75,3/11/2024,third clip before third dose,4.93,1.79,43.75,25/11/2024,Measured ph and ec only ,18,4.76,2.01,4/12/2024,Harvest Day,30,4.8,2.36,27,10.94,13.46,0.00139537,0.003924074,0.041773585
28,P10,3P10,P,3,UF,60,One-time,Fertilizer,3/09/2024,Before Fertilization ,35,34,2,6.21,0.23,3.72,8/09/2024,Measure ec and ph,5,4.7,0.211,20/09/2024,Measure ec and ph,18,4.8,0.211,4.22,3/10/2024,Second clip (before second split dose),30,4.9,0.212,45.8,5.05,1.81,4.85,47.15,3/11/2024,third clip before third dose,4.85,1.81,47.15,25/11/2024,Measured ph and ec only ,18,4.68,1.81,4/12/2024,Harvest Day,30,5.35,2.04,22.1,7.043,7.8,0.001979032,0.001423548,0.055292895
29,P11,3P11,P,3,UF,120,One-time,Fertilizer,3/09/2024,Before Fertilization ,35,40,2,6.34,0.29,3.79,8/09/2024,Measure ec and ph,5,4.2,0.231,20/09/2024,Measure ec and ph,18,4.3,0.231,5.57,3/10/2024,Second clip (before second split dose),30,4.4,0.21,37.9,4.55,1.67,8.61,39.25,3/11/2024,third clip before third dose,4.35,1.71,39.25,25/11/2024,Measured ph and ec only ,18,4.18,1.67,4/12/2024,Harvest Day,30,4.98,2.8,33.9,10.15,11.89,0.001678505,0.003686916,0.049008403
30,P1,4P1,P,4,None,0,Split,Control,3/09/2024,Before Fertilization ,35,11,2,6.35,0.31,3.6,8/09/2024,Measure ec and ph,5,5.65,0.22,20/09/2024,Measure ec and ph,18,5.35,0.22,4.41,3/10/2024,Second clip (before second split dose),30,5.26,0.212,30.4,5.41,1.96,5.71,31.75,3/11/2024,third clip before third dose,5.38,1.81,31.75,25/11/2024,Measured ph and ec only ,18,5.97,1.96,4/12/2024,Harvest Day,30,5.9,2.86,31.9,8.35,9.84,0.001944479,0.002409202,0.02304918
31,P2,4P2,P,4,UF,20,Split,Fertilizer,3/09/2024,Before Fertilization ,35,34,2,6.2,0.34,3.78,8/09/2024,Measure ec and ph,5,5.23,0.3,20/09/2024,Measure ec and ph,18,5.05,0.3,4.89,3/10/2024,Second clip (before second split dose),30,5.15,0.192,32.1,5.3,2.01,5.6,33.45,3/11/2024,third clip before third dose,5.1,1.76,33.45,25/11/2024,Measured ph and ec only ,18,5.35,2.01,4/12/2024,Harvest Day,30,5.7,2.1,29.1,8.01,13.3,0.002071429,0.001432653,0.028410305
32,P3,4P3,P,4,UF,40,Split,Fertilizer,3/09/2024,Before Fertilization ,35,38,2,6.25,0.28,3.87,8/09/2024,Measure ec and ph,5,5.12,0.212,20/09/2024,Measure ec and ph,18,4.95,0.212,5.31,3/10/2024,Second clip (before second split dose),30,5.05,0.231,38.8,5.2,1.78,5.67,40.15,3/11/2024,third clip before third dose,5,1.84,40.15,25/11/2024,Measured ph and ec only ,18,5.34,1.78,4/12/2024,Harvest Day,30,5.45,1.95,25.4,9.5,12.57,0.002334862,0.002816514,0.035094828
33,P4,4P4,P,4,UF,60,Split,Fertilizer,3/09/2024,Before Fertilization ,35,33,2,6.21,0.32,3.77,8/09/2024,Measure ec and ph,5,4.8,0.212,20/09/2024,Measure ec and ph,18,4.9,0.212,4.44,3/10/2024,Second clip (before second split dose),30,5,0.21,40,5.15,1.89,6.17,41.35,3/11/2024,third clip before third dose,4.95,1.67,41.35,25/11/2024,Measured ph and ec only ,18,5.2,1.89,4/12/2024,Harvest Day,30,5.01,2.14,29.7,9.87,17.11,0.003987761,0.002837015,0.031664304
34,P5,4P5,P,4,UF,80,Split,Fertilizer,3/09/2024,Before Fertilization ,35,40,2,6.28,0.32,3.88,8/09/2024,Measure ec and ph,5,4.82,0.24,20/09/2024,Measure ec and ph,18,4.92,0.24,5.02,3/10/2024,Second clip (before second split dose),30,5.02,0.213,37.6,5.17,1.49,6.54,38.95,3/11/2024,third clip before third dose,4.97,1.53,38.95,25/11/2024,Measured ph and ec only ,18,4.8,1.49,4/12/2024,Harvest Day,30,5.02,2.87,31.4,9.34,17.15,0.000706186,0.005678351,0.025038158
35,P6,4P6,P,4,UF,100,Split,Fertilizer,3/09/2024,Before Fertilization ,35,30,2,6.4,0.35,3.85,8/09/2024,Measure ec and ph,5,4.85,0.29,20/09/2024,Measure ec and ph,18,4.95,0.29,5.08,3/10/2024,Second clip (before second split dose),30,4.98,0.22,35.8,5.13,0.9,6.43,37.15,3/11/2024,third clip before third dose,4.93,2.8,37.15,25/11/2024,Measured ph and ec only ,18,4.83,0.9,4/12/2024,Harvest Day,30,4.99,1.99,28.7,10.67,18.09,0.001591126,0.004640273,0.03666199
36,P7,4P7,P,4,UF,120,Split,Fertilizer,3/09/2024,Before Fertilization ,35,30,2,6.34,0.29,3.89,8/09/2024,Measure ec and ph,5,4.9,0.21,20/09/2024,Measure ec and ph,18,4.88,0.21,5.2,3/10/2024,Second clip (before second split dose),30,4.88,0.22,29.8,5.03,1.94,7.57,31.15,3/11/2024,third clip before third dose,4.83,1.92,31.15,25/11/2024,Measured ph and ec only ,18,4.88,1.94,4/12/2024,Harvest Day,30,4.85,2.84,32.1,10.9,16.77,0.002104559,0.00397386,0.042032861
37,P9,4P9,P,4,MF,120,One-time,Fertilizer,3/09/2024,Before Fertilization ,35,34,2,6.24,0.31,3.79,8/09/2024,Measure ec and ph,5,4.72,0.27,20/09/2024,Measure ec and ph,18,4.82,0.27,4.62,3/10/2024,Second clip (before second split dose),30,4.92,0.212,40.4,5.07,1.67,5.14,41.75,3/11/2024,third clip before third dose,4.87,1.87,41.75,25/11/2024,Measured ph and ec only ,18,4.7,1.67,4/12/2024,Harvest Day,30,5.3,2.23,29.8,7.48,17.18,0.001955518,0.0021,0.030463528
38,P10,4P10,P,4,UF,60,One-time,Fertilizer,3/09/2024,Before Fertilization ,35,29,2,6.31,0.25,3.8,8/09/2024,Measure ec and ph,5,4.81,0.211,20/09/2024,Measure ec and ph,18,4.91,0.211,5.25,3/10/2024,Second clip (before second split dose),30,5.01,0.211,43.4,5.16,1.75,6.53,44.75,3/11/2024,third clip before third dose,4.96,1.86,44.75,25/11/2024,Measured ph and ec only ,18,4.79,1.75,4/12/2024,Harvest Day,30,5.35,2.61,29.9,7.94,14.08,0.002748322,0.001385235,0.028452
39,P1,5P1,P,5,None,0,Split,Control,3/09/2024,Before Fertilization ,35,29,2,6.21,0.32,3.79,8/09/2024,Measure ec and ph,5,5.05,0.21,20/09/2024,Measure ec and ph,18,5.15,0.21,4.35,3/10/2024,Second clip (before second split dose),30,5.25,0.211,34.2,5.4,1.96,4.99,35.55,3/11/2024,third clip before third dose,5.68,1.78,35.55,25/11/2024,Measured ph and ec only ,18,5.42,1.96,4/12/2024,Harvest Day,30,5.75,2.17,28.8,7.74,11.27,0.00241254,0.001058199,0.023965909
40,P2,5P2,P,5,UF,20,Split,Fertilizer,3/09/2024,Before Fertilization ,35,27,2,6.25,0.28,3.89,8/09/2024,Measure ec and ph,5,5.05,0.231,20/09/2024,Measure ec and ph,18,4.83,0.231,4.9,3/10/2024,Second clip (before second split dose),30,5.13,0.25,39.8,5.28,1.89,4.8,41.15,3/11/2024,third clip before third dose,5.08,1.92,41.15,25/11/2024,Measured ph and ec only ,18,5.12,1.89,4/12/2024,Harvest Day,30,5.61,1.95,34.4,8.7,18.08,0.002929352,0.004927986,0.037427614
41,P3,5P3,P,5,UF,40,Split,Fertilizer,3/09/2024,Before Fertilization ,35,30,2,6.34,0.29,3.77,8/09/2024,Measure ec and ph,5,5.12,0.22,20/09/2024,Measure ec and ph,18,4.77,0.22,5.29,3/10/2024,Second clip (before second split dose),30,5.01,0.231,32.5,5.16,2.01,6.45,33.85,3/11/2024,third clip before third dose,4.96,1.87,33.85,25/11/2024,Measured ph and ec only ,18,5.32,2.01,4/12/2024,Harvest Day,30,5.3,1.84,22.5,9.2,19.7,0.00240404,0.005208081,0.027855263
42,P4,5P4,P,5,UF,60,Split,Fertilizer,3/09/2024,Before Fertilization ,35,32,2,6.35,0.31,3.7,8/09/2024,Measure ec and ph,5,4.89,0.212,20/09/2024,Measure ec and ph,18,4.7,0.212,5.15,3/10/2024,Second clip (before second split dose),30,4.99,0.22,36.5,5.14,0.9,6.35,37.85,3/11/2024,third clip before third dose,4.94,1.76,37.85,25/11/2024,Measured ph and ec only ,18,5.022,0.9,4/12/2024,Harvest Day,30,5.1,1.85,30.6,10.57,19.16,0.003236538,0.006140385,0.033005829
43,P5,5P5,P,5,UF,80,Split,Fertilizer,3/09/2024,Before Fertilization ,35,33,2,6.4,0.35,3.84,8/09/2024,Measure ec and ph,5,4.7,0.22,20/09/2024,Measure ec and ph,18,4.8,0.22,4.84,3/10/2024,Second clip (before second split dose),30,4.9,0.192,40.7,5.05,0.9,5.79,42.05,3/11/2024,third clip before third dose,4.85,1.87,42.05,25/11/2024,Measured ph and ec only ,18,4.68,0.9,4/12/2024,Harvest Day,30,4.99,2.39,28.5,10.63,13.14,0.000622476,0.003580456,0.033144015
44,P6,5P6,P,5,UF,100,Split,Fertilizer,3/09/2024,Before Fertilization ,35,36,2,6.24,0.31,3.9,8/09/2024,Measure ec and ph,5,4.82,0.212,20/09/2024,Measure ec and ph,18,4.92,0.212,5.13,3/10/2024,Second clip (before second split dose),30,4.79,0.213,29.5,4.94,1.78,6.76,30.85,3/11/2024,third clip before third dose,4.74,2.39,30.85,25/11/2024,Measured ph and ec only ,18,4.8,1.78,4/12/2024,Harvest Day,30,4.87,1.81,30.2,9.9,18.12,0.001612245,0.004344898,0.040399743
45,P7,5P7,P,5,UF,120,Split,Fertilizer,3/09/2024,Before Fertilization ,35,30,2,6.28,0.32,3.8,8/09/2024,Measure ec and ph,5,4.84,0.213,20/09/2024,Measure ec and ph,18,4.94,0.213,5.22,3/10/2024,Second clip (before second split dose),30,4.77,0.212,27.6,4.92,1.81,6.92,28.95,3/11/2024,third clip before third dose,4.72,1.98,28.95,25/11/2024,Measured ph and ec only ,18,4.82,1.81,4/12/2024,Harvest Day,30,4.7,1.84,36.3,11.25,26.86,0.00205,0.005109259,0.044097692
46,P8,5P8,P,5,MF,60,One-time,Fertilizer,3/09/2024,Before Fertilization ,35,34,2,6.31,0.25,3.72,8/09/2024,Measure ec and ph,5,4.92,0.211,20/09/2024,Measure ec and ph,18,4.8,0.211,4.45,3/10/2024,Second clip (before second split dose),30,5.1,0.212,38.4,5.25,1.94,4.42,39.75,3/11/2024,third clip before third dose,5.05,1.57,39.75,25/11/2024,Measured ph and ec only ,18,5.12,1.94,4/12/2024,Harvest Day,30,5.78,1.94,27.3,7.21,7.89,0.004591233,0.002496164,0.033338235
47,P11,5P11,P,5,UF,120,One-time,Fertilizer,3/09/2024,Before Fertilization ,35,21,2,6.2,0.34,3.74,8/09/2024,Measure ec and ph,5,4.5,0.192,20/09/2024,Measure ec and ph,18,4.6,0.192,4.89,3/10/2024,Second clip (before second split dose),30,4.7,0.21,41,4.85,2.01,6.78,42.35,3/11/2024,third clip before third dose,4.65,1.9,42.35,25/11/2024,Measured ph and ec only ,18,4.48,2.01,4/12/2024,Harvest Day,30,4.97,2.01,29.6,9.43,11.22,0.00135566,0.002211321,0.045444156
