S.No,Pot ID,Plant type,Combined pot id,Block,Fertilizer type ,Dose  (N kg/ha),Treatment code,Application_method,Treatment_Type,Date,Action Item,pH_BF,EC_BF,Fresh_Biomass_1,Dry_Biomass_1,Date,Action Item,Days after First dose,pH_1(AF_1st_Split),EC_1(AF_1st_Split),Date,Action Item,Days after First dose,pH_2(AF_1st_Split),EC_2(AF_1st_Split),Date,Action Item,Day after first dose ,pH_3_AF_2nd_Split,EC_3_AF_2nd_Split,Fresh_Biomass _2,Dry_Biomass _2,Cholorphyll_content(Before2ndDose),Date,Action Item,Days after second dose,pH_4_AF_2nd_Split,EC_4_AF_2nd_Split,Date,Action Item,Days after seond dose ,pH_5_AF_3nd_Split,EC_5_AF_3nd_Split,Cholorphyll_content(Before3rdDose),Fresh_Biomass_3,Dry_Biomass_3,Date,Action Item,Days_after_third_dose,pH_6_AF_3nd_Split,EC_6_AF_3nd_Split,Date,Action Item,Days_after_third_dose,pH_7_AF_3nd_Split,EC_7_AF_3nd_Split,Date,Action Item,pH_8_atHarvestDay,EC _atHarvestDay,Cholorphyll_content(HarvestDay),Fresh_Biomass_4,Dry_Biomass_shoot_4,Fresh_Biomass_root_118days,Dry_Biomass_root_118days,Nodules_count,Lechates Ph,Lechates EC,PH Chang,Root:shoot Ratio,Potential Yield lost,COMMENT,Notes,
23,L3,L,3L3,3,UF,20,3,Split,Fertilizer,20/09/2024,Before Fertilization ,5.68,0.31,4.98,3.87,8/10/2024,after Fertilization first split dose ,6,5.49,1.21,26/10/2024,after Fertilization first split dose ,18,5.39,1.21,16/10/2024,First clip (before second split dose),30,5.34,1.6,7.16,4.2,44.4,25/10/2024,Measured ph and ec only ,9,5.24,1.7,16/11/2024,third clip (before third  split dose),30,5.34,1.7,45.13,12.068,5.54,21/11/2024,ph/ec only,6,5.17,1.62,8/12/2024,ph/ec only,18,5.27,1.62,16/12/2024,Harvest Day,5.27,1.62,41.8,13.2,7.11,15.2,6.49,14,6.27,794,-0.41,0.912798875,0.09563,,,
24,L4,L,3L4,3,UF,30,4,Split,Fertilizer,20/09/2024,Before Fertilization ,5.54,0.32,5.5,3.84,8/10/2024,after Fertilization first split dose ,6,5.26,1.2,26/10/2024,after Fertilization first split dose ,18,5.16,1.2,16/10/2024,First clip (before second split dose),30,5.32,1.74,13.88,5.25,47.7,25/10/2024,Measured ph and ec only ,9,5.22,1.84,16/11/2024,third clip (before third  split dose),30,5.32,1.84,48.43,12.356,5.43,21/11/2024,ph/ec only,6,5.47,1.7,8/12/2024,ph/ec only,18,5.57,1.7,16/12/2024,Harvest Day,5.57,1.7,45.4,18.38,8.48,20.72,8.74,2,6.57,1746,0.03,1.030660377,0.10074,,,
25,L5,L,3L5,3,UF,40,5,Split,Fertilizer,20/09/2024,Before Fertilization ,5.78,0.35,4.79,3.9,8/10/2024,after Fertilization first split dose ,6,5.12,1.21,26/10/2024,after Fertilization first split dose ,18,5.02,1.21,16/10/2024,First clip (before second split dose),30,5.48,1.79,6.87,4.13,48.3,25/10/2024,Measured ph and ec only ,9,5.38,1.89,16/11/2024,third clip (before third  split dose),30,5.21,1.89,49.03,14.708,5.74,21/11/2024,ph/ec only,6,4.85,1.73,8/12/2024,ph/ec only,18,4.95,1.73,16/12/2024,Harvest Day,4.95,1.73,44.4,16.05,7.06,14.61,6.24,0,5.95,2191,-0.83,0.883852691,0.10074,,,
26,L6,L,3L6,3,UF,50,6,Split,Fertilizer,20/09/2024,Before Fertilization ,5.68,0.34,5.66,3.83,8/10/2024,after Fertilization first split dose ,6,5,1.3,26/10/2024,after Fertilization first split dose ,18,4.9,1.3,16/10/2024,First clip (before second split dose),30,5.12,1.63,6.72,4.11,43.5,25/10/2024,Measured ph and ec only ,9,5.02,1.73,16/11/2024,third clip (before third  split dose),30,4.9,1.73,44.23,12.961,5.15,21/11/2024,ph/ec only,6,4.93,1.76,8/12/2024,ph/ec only,18,5.03,1.76,16/12/2024,Harvest Day,5.03,1.76,53.1,16.2,7.37,15.58,6.85,0,6.03,731,-0.65,0.929443691,0.10366,,,
27,L7,L,3L7,3,UF,60,7,Split,Fertilizer,20/09/2024,Before Fertilization ,5.35,0.31,5.3,3.78,8/10/2024,after Fertilization first split dose ,6,5.03,1.08,26/10/2024,after Fertilization first split dose ,18,4.93,1.08,16/10/2024,First clip (before second split dose),30,4.98,1.86,9.44,4.56,47,25/10/2024,Measured ph and ec only ,9,4.88,1.96,16/11/2024,third clip (before third  split dose),30,4.85,1.96,47.73,12.453,5.5,21/11/2024,ph/ec only,6,4.82,1.84,8/12/2024,ph/ec only,18,4.92,1.84,16/12/2024,Harvest Day,4.92,1.84,45.6,20.21,8.6,16.18,7.18,1,5.92,2400,-0.43,0.834883721,0.11169,,,
28,L10,L,3L10,3,UF,30,10,One-time,Fertilizer,20/09/2024,Before Fertilization ,5.98,0.32,4.98,3.78,8/10/2024,after Fertilization first split dose ,6,4.78,1.22,26/10/2024,after Fertilization first split dose ,18,4.68,1.22,16/10/2024,First clip (before second split dose),30,4.78,1.66,8.9,4.45,48.9,25/10/2024,Measured ph and ec only ,9,4.68,1.76,16/11/2024,third clip (before third  split dose),30,4.97,1.76,49.63,14.085,5.37,21/11/2024,ph/ec only,6,5.05,0.85,8/12/2024,ph/ec only,18,5.15,0.85,16/12/2024,Harvest Day,5.15,0.85,43.1,17.52,7.58,14.11,6.51,2,6.15,2163,-0.83,0.85883905,0.03869,,,
29,L11,L,3L11,3,UF,60,11,One-time,Fertilizer,20/09/2024,Before Fertilization ,5.94,0.29,4.7848,3.77,8/10/2024,after Fertilization first split dose ,6,4.76,1.22,26/10/2024,after Fertilization first split dose ,18,4.66,1.22,16/10/2024,First clip (before second split dose),30,4.64,1.52,9.1,4.5,50.5,25/10/2024,Measured ph and ec only ,9,4.54,1.62,16/11/2024,third clip (before third  split dose),30,4.87,1.62,51.23,16.412,6.16,21/11/2024,ph/ec only,6,5.09,1.44,8/12/2024,ph/ec only,18,5.19,1.44,16/12/2024,Harvest Day,5.19,1.44,21.8,13.44,7.16,15.4,6.38,0,6.19,949,-0.75,0.891061453,0.08395,,,
30,L1,L,4L1,4,None,0,1,Split,Control,20/09/2024,Before Fertilization ,5.64,0.36,4.98,3.92,8/10/2024,after Fertilization first split dose ,6,4.75,1.23,26/10/2024,after Fertilization first split dose ,18,4.65,1.23,16/10/2024,First clip (before second split dose),30,5.43,1.81,11,4.91,43.2,25/10/2024,Measured ph and ec only ,9,5.33,1.91,16/11/2024,third clip (before third  split dose),30,5.99,1.73,43.93,9.79,4.68,21/11/2024,ph/ec only,6,5.52,1.76,8/12/2024,ph/ec only,18,5.62,1.76,16/12/2024,Harvest Day,5.62,1.76,43.93,16.04,7.2,12.24,5.74,0,6.62,920,-0.02,0.797222222,0.1022,,,
31,L2,L,4L2,4,UF,10,2,Split,Fertilizer,20/09/2024,Before Fertilization ,5.54,0.3,5.66,3.75,8/10/2024,after Fertilization first split dose ,6,5.2,1.21,26/10/2024,after Fertilization first split dose ,18,5.1,1.21,16/10/2024,First clip (before second split dose),30,5.43,1.86,5.13,4.03,43.7,25/10/2024,Measured ph and ec only ,9,5.33,1.96,16/11/2024,third clip (before third  split dose),30,5.23,1.76,44.43,10.383,4.23,21/11/2024,ph/ec only,6,5.75,0.85,8/12/2024,ph/ec only,18,5.85,0.85,16/12/2024,Harvest Day,5.85,0.85,44.43,14.92,6.69,11.71,6.05,0,6.85,875,0.31,0.904334828,0.04015,,,
32,L3,L,4L3,4,UF,20,3,Split,Fertilizer,20/09/2024,Before Fertilization ,5.79,0.35,5.1,3.74,8/10/2024,after Fertilization first split dose ,6,5.22,1.27,26/10/2024,after Fertilization first split dose ,18,5.12,1.27,16/10/2024,First clip (before second split dose),30,5.12,1.63,8.07,4.35,41.9,25/10/2024,Measured ph and ec only ,9,5.11,1.73,16/11/2024,third clip (before third  split dose),30,5.43,0.85,42.63,14.223,5.52,21/11/2024,ph/ec only,6,5.4,1.96,8/12/2024,ph/ec only,18,5.5,1.96,16/12/2024,Harvest Day,5.5,1.96,42.63,13.05,6.95,15.37,5.88,3,6.5,1457,-0.29,0.846043165,0.11753,,,
33,L4,L,4L4,4,UF,30,4,Split,Fertilizer,20/09/2024,Before Fertilization ,5.65,0.23,4.98,3.76,8/10/2024,after Fertilization first split dose ,6,5.15,1.3,26/10/2024,after Fertilization first split dose ,18,5.05,1.3,16/10/2024,First clip (before second split dose),30,5.32,1.74,7.58,4.37,43.9,25/10/2024,Measured ph and ec only ,9,5.22,1.84,16/11/2024,third clip (before third  split dose),30,5.21,0.85,44.63,14.266,5.43,21/11/2024,ph/ec only,6,5.45,1.96,8/12/2024,ph/ec only,18,5.55,1.96,16/12/2024,Harvest Day,5.55,1.96,44.63,16.64,7.28,14.18,7.06,1,6.55,1025,-0.1,0.96978022,0.12629,,,
34,L5,L,4L5,4,UF,40,5,Split,Fertilizer,20/09/2024,Before Fertilization ,5.65,0.35,5.5,3.95,8/10/2024,after Fertilization first split dose ,6,5.01,1.21,26/10/2024,after Fertilization first split dose ,18,4.91,1.21,16/10/2024,First clip (before second split dose),30,5.12,1.34,10.84,4.88,50.1,25/10/2024,Measured ph and ec only ,9,5.02,1.44,16/11/2024,third clip (before third  split dose),30,4.9,1.89,50.83,12.651,5.14,21/11/2024,ph/ec only,6,5.3,1.73,8/12/2024,ph/ec only,18,5.4,1.73,16/12/2024,Harvest Day,5.4,1.73,50.83,16.79,7.56,16.53,6.59,1,6.4,1025,-0.25,0.871693122,0.10074,,,
35,L6,L,4L6,4,UF,50,6,Split,Fertilizer,20/09/2024,Before Fertilization ,5.94,0.2,4.79,3.79,8/10/2024,after Fertilization first split dose ,6,4.99,1.2,26/10/2024,after Fertilization first split dose ,18,4.89,1.2,16/10/2024,First clip (before second split dose),30,4.79,0.75,4.86,4.02,46.7,25/10/2024,Measured ph and ec only ,9,4.69,0.85,16/11/2024,third clip (before third  split dose),30,4.74,1.73,47.43,15.851,5.65,21/11/2024,ph/ec only,6,4.6,1.76,8/12/2024,ph/ec only,18,4.7,1.76,16/12/2024,Harvest Day,4.7,1.76,47.43,16.35,7.24,11.32,7.56,1,5.7,872,-1.24,1.044198895,0.11388,,,
36,L7,L,4L7,4,UF,60,7,Split,Fertilizer,20/09/2024,Before Fertilization ,5.78,0.29,4.7848,3.84,8/10/2024,after Fertilization first split dose ,6,5.12,1.32,26/10/2024,after Fertilization first split dose ,18,5.02,1.32,16/10/2024,First clip (before second split dose),30,4.89,1.79,13.21,5.35,44.9,25/10/2024,Measured ph and ec only ,9,4.79,1.89,16/11/2024,third clip (before third  split dose),30,4.77,1.76,45.63,15.285,6.17,21/11/2024,ph/ec only,6,4.45,0.85,8/12/2024,ph/ec only,18,4.55,0.85,16/12/2024,Harvest Day,4.55,0.85,45.63,16.44,7.8,18.17,6.04,2,5.55,827,-1.23,0.774358974,0.04088,,,
37,L9,L,4L9,4,MF,60,9,One-time,Fertilizer,20/09/2024,Before Fertilization ,5.68,0.32,5.3,3.91,8/10/2024,after Fertilization first split dose ,6,5.01,1.2,26/10/2024,after Fertilization first split dose ,18,4.91,1.2,16/10/2024,First clip (before second split dose),30,5.21,1.52,11.8,4.98,41.6,25/10/2024,Measured ph and ec only ,9,5.11,1.62,16/11/2024,third clip (before third  split dose),30,5.32,1.84,42.33,10.225,4.86,21/11/2024,ph/ec only,6,5.74,1.89,8/12/2024,ph/ec only,18,5.84,1.89,16/12/2024,Harvest Day,5.84,1.89,42.33,13.93,5.05,15.69,7.09,0,6.84,827,0.16,1.403960396,0.11461,,,
38,L10,L,4L10,4,UF,30,10,One-time,Fertilizer,20/09/2024,Before Fertilization ,5.94,0.35,5.3,3.84,8/10/2024,after Fertilization first split dose ,6,4.77,1.08,26/10/2024,after Fertilization first split dose ,18,4.67,1.08,16/10/2024,First clip (before second split dose),30,4.89,1.6,8.86,4.55,44.6,25/10/2024,Measured ph and ec only ,9,4.79,1.7,16/11/2024,third clip (before third  split dose),30,4.84,1.96,45.33,13.928,5.65,21/11/2024,ph/ec only,6,5.75,1.84,8/12/2024,ph/ec only,18,5.85,1.84,16/12/2024,Harvest Day,5.85,1.84,45.33,17.55,6.74,12.05,6.87,4,6.85,920,-0.09,1.019287834,0.10877,,,
39,L1,L,5L1,5,None,0,1,Split,Control,20/09/2024,Before Fertilization ,5.65,0.32,4.98,3.91,8/10/2024,after Fertilization first split dose ,6,5.3,1.22,26/10/2024,after Fertilization first split dose ,18,5.2,1.22,16/10/2024,First clip (before second split dose),30,5.54,1.81,7.04,4.44,42.5,25/10/2024,Measured ph and ec only ,9,5.44,1.91,16/11/2024,third clip (before third  split dose),30,5.77,1.7,32.8,8.503,4.5,21/11/2024,ph/ec only,6,5.6,1.62,8/12/2024,ph/ec only,18,5.7,1.62,16/12/2024,Harvest Day,5.7,1.62,32.8,16.32,5.86,11.71,5.97,1,6.7,1279,0.05,1.018771331,0.0949,,,
40,L2,L,5L2,5,UF,10,2,Split,Fertilizer,20/09/2024,Before Fertilization ,5.79,0.28,4.98,3.91,8/10/2024,after Fertilization first split dose ,6,5.23,1.32,26/10/2024,after Fertilization first split dose ,18,5.13,1.32,16/10/2024,First clip (before second split dose),30,5.2,1.74,8.22,4.57,44.9,25/10/2024,Measured ph and ec only ,9,5.1,1.84,16/11/2024,third clip (before third  split dose),30,5.87,1.84,39.8,16.895,6.05,21/11/2024,ph/ec only,6,5.5,1.84,8/12/2024,ph/ec only,18,5.6,1.84,16/12/2024,Harvest Day,5.6,1.84,39.8,13.87,7.71,11.11,5.37,0,6.6,1457,-0.19,0.696498054,0.11388,,,
41,L3,L,5L3,5,UF,20,3,Split,Fertilizer,20/09/2024,Before Fertilization ,5.78,0.29,5.5,3.84,8/10/2024,after Fertilization first split dose ,6,5.13,1.23,26/10/2024,after Fertilization first split dose ,18,5.03,1.23,16/10/2024,First clip (before second split dose),30,5.12,1.86,11.68,5.16,44.2,25/10/2024,Measured ph and ec only ,9,5.02,1.96,16/11/2024,third clip (before third  split dose),30,5.8,1.44,41,15.84,5.95,21/11/2024,ph/ec only,6,5.3,1.84,8/12/2024,ph/ec only,18,5.4,1.84,16/12/2024,Harvest Day,5.4,1.84,41,15,6.99,14.03,6.01,5,6.4,827,-0.38,0.859799714,0.11315,,,
42,L4,L,5L4,5,UF,30,4,Split,Fertilizer,20/09/2024,Before Fertilization ,5.64,0.31,4.98,3.99,8/10/2024,after Fertilization first split dose ,6,5.12,1.21,26/10/2024,after Fertilization first split dose ,18,5.02,1.21,16/10/2024,First clip (before second split dose),30,5.32,0.75,10.35,4.65,45.5,25/10/2024,Measured ph and ec only ,9,5.22,0.85,16/11/2024,third clip (before third  split dose),30,5.74,1.62,47.9,14.521,5.6,21/11/2024,ph/ec only,6,5.3,1.44,8/12/2024,ph/ec only,18,5.4,1.44,16/12/2024,Harvest Day,5.4,1.44,47.9,18.38,8.1,14.42,6.72,8,6.4,920,-0.24,0.82962963,0.08249,,,
43,L5,L,5L5,5,UF,40,5,Split,Fertilizer,20/09/2024,Before Fertilization ,5.94,0.35,4.79,3.87,8/10/2024,after Fertilization first split dose ,6,5.12,1.2,26/10/2024,after Fertilization first split dose ,18,5.02,1.2,16/10/2024,First clip (before second split dose),30,4.98,0.75,7.73,4.56,42.6,25/10/2024,Measured ph and ec only ,9,4.88,0.85,16/11/2024,third clip (before third  split dose),30,5.35,1.96,48.5,16.875,6.03,21/11/2024,ph/ec only,6,4.8,1.84,8/12/2024,ph/ec only,18,4.9,1.84,16/12/2024,Harvest Day,4.9,1.84,48.5,19.38,7.74,12.51,6.49,1,5.9,1679,-1.04,0.838501292,0.10877,,,
44,L6,L,5L6,5,UF,50,6,Split,Fertilizer,20/09/2024,Before Fertilization ,5.68,0.31,5.3,3.95,8/10/2024,after Fertilization first split dose ,6,5.02,1.08,26/10/2024,after Fertilization first split dose ,18,4.92,1.08,16/10/2024,First clip (before second split dose),30,4.98,1.63,4.32,3.82,41.5,25/10/2024,Measured ph and ec only ,9,4.88,1.73,16/11/2024,third clip (before third  split dose),30,5.26,1.44,45.4,14.77,5.47,21/11/2024,ph/ec only,6,4.7,1.7,8/12/2024,ph/ec only,18,4.8,1.7,16/12/2024,Harvest Day,4.8,1.7,45.4,10.54,5.89,17.69,7.41,1,5.8,731,-0.88,1.258064516,0.10147,,,
45,L7,L,5L7,5,UF,60,7,Split,Fertilizer,20/09/2024,Before Fertilization ,5.65,0.32,5.5,3.91,8/10/2024,after Fertilization first split dose ,6,5.11,1.2,26/10/2024,after Fertilization first split dose ,18,5.01,1.2,16/10/2024,First clip (before second split dose),30,4.89,1.66,10.26,4.78,46.7,25/10/2024,Measured ph and ec only ,9,4.79,1.76,16/11/2024,third clip (before third  split dose),30,5.59,1.7,38.1,15.543,6,21/11/2024,ph/ec only,6,4.6,1.62,8/12/2024,ph/ec only,18,4.7,1.62,16/12/2024,Harvest Day,4.7,1.62,38.1,17.38,8.06,14.2,6.41,4,5.7,1025,-0.95,0.79528536,0.0949,,,
46,L8,L,5L8,5,MF,30,8,One-time,Fertilizer,20/09/2024,Before Fertilization ,5.94,0.25,5.3,3.73,8/10/2024,after Fertilization first split dose ,6,5.01,1.3,26/10/2024,after Fertilization first split dose ,18,4.91,1.3,16/10/2024,First clip (before second split dose),30,5.02,1.79,4.83,3.98,43.7,25/10/2024,Measured ph and ec only ,9,4.92,1.89,16/11/2024,third clip (before third  split dose),30,5.62,1.62,38.5,10.616,5.09,21/11/2024,ph/ec only,6,5.3,1.44,8/12/2024,ph/ec only,18,5.4,1.44,16/12/2024,Harvest Day,5.4,1.44,38.5,13.71,6.513,11.79,5.7,0,6.4,2191,-0.54,0.875172731,0.08687,,,
47,L11,L,5L11,5,UF,60,11,One-time,Fertilizer,20/09/2024,Before Fertilization ,5.54,0.34,5.66,3.89,8/10/2024,after Fertilization first split dose ,6,4.6,1.21,26/10/2024,after Fertilization first split dose ,18,4.5,1.21,16/10/2024,First clip (before second split dose),30,4.55,1.86,6,4.34,45.8,25/10/2024,Measured ph and ec only ,9,4.45,1.96,16/11/2024,third clip (before third  split dose),30,5.29,1.84,50,12.173,5.66,21/11/2024,ph/ec only,6,5.3,1.7,8/12/2024,ph/ec only,18,5.4,1.7,16/12/2024,Harvest Day,5.4,1.7,50,14.74,6.7,10.83,5.9,0,6.4,1279,-0.14,0.880597015,0.09928,,,
