Pot ID,Plant type,S.No,Combined pot id,Block,Plant,Fertilizer type ,Dose  (N kg/ha),Treatment code,Application_method,Date,Action Item,Plant height,Stem count Ph,pH_30days,EC (dS/cm)_30days,Fresh_Biomass30days(gm),Dry_Biomass30days(gm),Date,Action Item,Days after First dose,pH_48days,EC (dS/cm)_48days,Date,Action Item,Days after First dose,pH_48days,EC (dS/cm)_48days,Date,Action Item,Day after first dose ,pH_56days,EC (uS/cm)_56days,Fresh.Biomass (gm)_56days_2ndSplitdose,Dry.Biomass (gm)_56days_2ndSplitdose,Cholorphyll content (Spad)_56days,Date,Action Item,Days after second dose,pH_65days,EC (uS/cm)_65days,Date,Action Item,Days after second dose,pH_76days,EC (uS/cm)_76days,Cholorphyll_content (Spad)_76days,Date,Action Item,Days after seond dose ,pH_88days,EC_88days(uS/cm),Cholorphyll_content_88days (Spad),Fresh_Biomass_88days ,Dry_Biomass_88days ,Date,Action Item,Days_after_third_dose,pH,EC (uS/cm),Date,Action Item,Days_after_third_dose,pH,EC (uS/cm),Date,Action Item,pH,EC (uS/cm),Cholorphyll_content (Spad),Fresh_Biomass_shoot_118days,Dry_Biomass_shoot_118days,Fresh_Biomass_root_118days,Dry_Biomass_root_118days,Nodules_count,Lechates Ph,Lechates EC,Notes,COMMENT,
L1,L,1,1L1,1,L,None,0,1,Split,20/09/2024,Before Fertilization ,,,5.64,0.29,5.5,,8/10/2024,after Fertilization first split dose ,6,5.05,1.23,26/10/2024,after Fertilization first split dose ,18,4.95,1.23,16/10/2024,First clip (before second split dose),30,5.48,1.6,5.53,,43.3,25/10/2024,Measured ph and ec only ,9,5.38,1.7,6/11/2024,Measured ph and ec only ,18,6.12,1.96,44.03,16/11/2024,third clip (before third  split dose),30,6.12,1.96,44.03,11.59,,21/11/2024,ph/ec only,6,5.4,1.84,8/12/2024,ph/ec only,18,5.5,1.84,16/12/2024,Harvest Day,5.5,1.84,41.6,15.29,6.46,11.65,5.9,0,6.5,920,,,
L2,L,3,1L2,1,L,UF,10,2,Split,20/09/2024,Before Fertilization ,,,5.94,0.34,5.1,,8/10/2024,after Fertilization first split dose ,6,5.32,1.21,26/10/2024,after Fertilization first split dose ,18,5.22,1.21,16/10/2024,First clip (before second split dose),30,5.01,1.86,4.6214,,42.8,25/10/2024,Measured ph and ec only ,9,4.91,1.96,6/11/2024,Measured ph and ec only ,18,5.9,1.96,43.53,16/11/2024,third clip (before third  split dose),30,5.9,1.96,43.53,8.393,,21/11/2024,ph/ec only,6,5.72,1.96,8/12/2024,ph/ec only,18,5.82,1.96,16/12/2024,Harvest Day,5.82,1.96,52,9.78,4.85,6.8,4.37,0,6.82,794,,Note,
L3,L,4,1L3,1,L,UF,20,3,Split,20/09/2024,Before Fertilization ,,,5.65,0.31,5.3,,8/10/2024,after Fertilization first split dose ,6,5.43,1.21,26/10/2024,after Fertilization first split dose ,18,5.33,1.21,16/10/2024,First clip (before second split dose),30,5.26,1.66,7.51,,45.5,25/10/2024,Measured ph and ec only ,9,5.16,1.76,6/11/2024,Measured ph and ec only ,18,5.26,0.85,46.23,16/11/2024,third clip (before third  split dose),30,5.26,0.85,46.23,14.939,,21/11/2024,ph/ec only,6,5.33,1.96,8/12/2024,ph/ec only,18,5.43,1.96,16/12/2024,Harvest Day,5.43,1.96,55.6,18.44,7.03,11.64,6.36,2,6.43,1025,,Water used,
L4,L,5,1L4,1,L,UF,30,4,Split,20/09/2024,Before Fertilization ,,,5.33,0.35,4.7848,,8/10/2024,after Fertilization first split dose ,6,5.23,1.2,26/10/2024,after Fertilization first split dose ,18,5.13,1.2,16/10/2024,First clip (before second split dose),30,5.42,0.75,5.9048,,41,25/10/2024,Measured ph and ec only ,9,5.32,0.85,6/11/2024,Measured ph and ec only ,18,5.67,0.85,41.73,16/11/2024,third clip (before third  split dose),30,5.67,0.85,41.73,9.379,,21/11/2024,ph/ec only,6,5.49,0.85,8/12/2024,ph/ec only,18,5.59,0.85,16/12/2024,Harvest Day,5.59,0.85,47.3,13.6,6.41,10.41,5.63,2,6.59,1746,,EC ,228 uS/cm
L5,L,6,1L5,1,L,UF,40,5,Split,20/09/2024,Before Fertilization ,,,5.68,0.32,5.3,,8/10/2024,after Fertilization first split dose ,6,5.13,1.2,26/10/2024,after Fertilization first split dose ,18,5.03,1.2,16/10/2024,First clip (before second split dose),30,5.59,1.63,8.43,,45.1,25/10/2024,Measured ph and ec only ,9,5.49,1.73,6/11/2024,Measured ph and ec only ,18,4.8,1.76,45.83,16/11/2024,third clip (before third  split dose),30,4.8,1.76,45.83,16.278,,21/11/2024,ph/ec only,6,5.43,0.85,8/12/2024,ph/ec only,18,5.53,0.85,16/12/2024,Harvest Day,5.53,0.85,38.6,16.94,7.32,13.34,6.72,1,6.53,875,,PH,7.5
L6,L,7,1L6,1,L,UF,50,6,Split,20/09/2024,Before Fertilization ,,,5.65,0.25,5.66,,8/10/2024,after Fertilization first split dose ,6,5.12,1.3,26/10/2024,after Fertilization first split dose ,18,5.02,1.3,16/10/2024,First clip (before second split dose),30,4.66,1.81,6.78,,44.2,25/10/2024,Measured ph and ec only ,9,4.56,1.91,6/11/2024,Measured ph and ec only ,18,4.78,1.89,44.93,16/11/2024,third clip (before third  split dose),30,4.78,1.89,44.93,14.536,,21/11/2024,ph/ec only,6,4.87,1.44,8/12/2024,ph/ec only,18,4.97,1.44,16/12/2024,Harvest Day,4.97,1.44,64.9,18.35,7.51,11.45,5.92,3,5.97,759,,,
L7,L,8,1L7,1,L,UF,60,7,Split,20/09/2024,Before Fertilization ,,,5.78,0.28,4.98,,8/10/2024,after Fertilization first split dose ,6,5.12,1.32,26/10/2024,after Fertilization first split dose ,18,5.02,1.32,16/10/2024,First clip (before second split dose),30,4.49,1.52,5.63,,37.7,25/10/2024,Measured ph and ec only ,9,4.39,1.62,6/11/2024,Measured ph and ec only ,18,5.01,1.84,38.43,16/11/2024,third clip (before third  split dose),30,5.01,1.84,38.43,8.019,,21/11/2024,ph/ec only,6,4.42,1.44,8/12/2024,ph/ec only,18,4.52,1.44,16/12/2024,Harvest Day,4.52,1.44,38,9.58,5.01,6.11,4.17,1,5.52,827,,,
L8,L,9,1L8,1,L,MF,30,8,One-time,20/09/2024,Before Fertilization ,,,5.54,0.32,4.79,,8/10/2024,after Fertilization first split dose ,6,5.03,1.22,26/10/2024,after Fertilization first split dose ,18,4.93,1.22,16/10/2024,First clip (before second split dose),30,5.26,1.74,5.69,,37.5,25/10/2024,Measured ph and ec only ,9,5.16,1.84,6/11/2024,Measured ph and ec only ,18,6.02,1.91,38.23,16/11/2024,third clip (before third  split dose),30,6.02,1.91,38.23,10.203,,21/11/2024,ph/ec only,6,5.19,1.84,8/12/2024,ph/ec only,18,5.29,1.84,16/12/2024,Harvest Day,5.29,1.84,39.6,12.95,5.79,8.44,5.05,0,6.29,949,,,
L9,L,10,1L9,1,L,MF,60,9,One-time,20/09/2024,Before Fertilization ,,,5.94,0.31,4.98,,8/10/2024,after Fertilization first split dose ,6,5.11,1.08,26/10/2024,after Fertilization first split dose ,18,5.01,1.08,16/10/2024,First clip (before second split dose),30,5.51,1.79,9.05,,47.9,25/10/2024,Measured ph and ec only ,9,5.41,1.89,6/11/2024,Measured ph and ec only ,18,5.98,1.73,48.63,16/11/2024,third clip (before third  split dose),30,5.98,1.73,48.63,12.242,,21/11/2024,ph/ec only,6,5.77,1.76,8/12/2024,ph/ec only,18,5.87,1.76,16/12/2024,Harvest Day,5.87,1.76,53.3,13.3,6.2,14.29,6.9,0,6.87,872,,,
L10,L,2,1L10,1,L,UF,30,10,One-time,20/09/2024,Before Fertilization ,,,5.79,0.24,4.7848,,8/10/2024,after Fertilization first split dose ,6,4.76,1.43,26/10/2024,after Fertilization first split dose ,18,4.66,1.43,16/10/2024,First clip (before second split dose),30,4.76,1.34,5.16,,41.3,25/10/2024,Measured ph and ec only ,9,4.66,1.44,6/11/2024,Measured ph and ec only ,18,4.89,1.44,42.03,16/11/2024,third clip (before third  split dose),30,4.89,1.44,42.03,12.395,,21/11/2024,ph/ec only,6,5.57,1.76,8/12/2024,ph/ec only,18,5.67,1.76,16/12/2024,Harvest Day,5.67,1.76,52.1,13.8,6.5,10,5.94,4,6.67,1457,,,
L1,L,11,2L1,2,L,None,0,1,Split,20/09/2024,Before Fertilization ,,,5.78,0.3,4.79,,8/10/2024,after Fertilization first split dose ,6,5.45,1.3,26/10/2024,after Fertilization first split dose ,18,5.35,1.3,16/10/2024,First clip (before second split dose),30,5.51,1.79,6.74,,42,25/10/2024,Measured ph and ec only ,9,5.41,1.89,6/11/2024,Measured ph and ec only ,18,6.35,0.85,42.8,16/11/2024,third clip (before third  split dose),30,6.35,0.85,42.8,11.275,,21/11/2024,ph/ec only,6,5.55,1.96,8/12/2024,ph/ec only,18,5.65,1.96,16/12/2024,Harvest Day,5.65,1.96,47.9,15,6.3,11.156,6.08,0,6.65,872,,,
L2,L,13,2L2,2,L,UF,10,2,Split,20/09/2024,Before Fertilization ,,,5.94,0.35,4.7848,,8/10/2024,after Fertilization first split dose ,6,5.32,1.2,26/10/2024,after Fertilization first split dose ,18,5.22,1.2,16/10/2024,First clip (before second split dose),30,5.32,1.52,7.56,,40.4,25/10/2024,Measured ph and ec only ,9,5.22,1.62,6/11/2024,Measured ph and ec only ,18,5.88,1.84,40.8,16/11/2024,third clip (before third  split dose),30,5.88,1.84,40.8,15.702,,21/11/2024,ph/ec only,6,5.12,1.44,8/12/2024,ph/ec only,18,5.22,1.44,16/12/2024,Harvest Day,5.22,1.44,28,16.56,6.58,10.02,5.3,2,6.22,1279,,,
L3,L,14,2L3,2,L,UF,20,3,Split,20/09/2024,Before Fertilization ,,,5.68,0.32,5.3,,8/10/2024,after Fertilization first split dose ,6,5.13,1.21,26/10/2024,after Fertilization first split dose ,18,5.03,1.21,16/10/2024,First clip (before second split dose),30,5.12,0.75,11.14,,43.2,25/10/2024,Measured ph and ec only ,9,5.02,0.85,6/11/2024,Measured ph and ec only ,18,6.01,1.44,37.7,16/11/2024,third clip (before third  split dose),30,6.01,1.44,37.7,12.645,,21/11/2024,ph/ec only,6,5.03,1.76,8/12/2024,ph/ec only,18,5.13,1.76,16/12/2024,Harvest Day,5.13,1.76,53.6,18.65,7.76,13.74,6.6,3,6.13,920,,,
L4,L,15,2L4,2,L,UF,30,4,Split,20/09/2024,Before Fertilization ,,,5.35,0.35,5.3,,8/10/2024,after Fertilization first split dose ,6,5.2,1.22,26/10/2024,after Fertilization first split dose ,18,5.1,1.22,16/10/2024,First clip (before second split dose),30,4.44,1.86,10.15,,44.5,25/10/2024,Measured ph and ec only ,9,4.34,1.96,6/11/2024,Measured ph and ec only ,18,6.05,1.76,47,16/11/2024,third clip (before third  split dose),30,6.05,1.76,47,15.753,,21/11/2024,ph/ec only,6,5.45,0.85,8/12/2024,ph/ec only,18,5.55,0.85,16/12/2024,Harvest Day,5.55,0.85,54.2,18.44,8.22,16.34,6.95,3,6.55,827,,,
L5,L,16,2L5,2,L,UF,40,5,Split,20/09/2024,Before Fertilization ,,,5.98,0.35,4.98,,8/10/2024,after Fertilization first split dose ,6,5.14,1.2,26/10/2024,after Fertilization first split dose ,18,5.04,1.2,16/10/2024,First clip (before second split dose),30,5.32,1.66,4.39,,38.4,25/10/2024,Measured ph and ec only ,9,5.22,1.76,6/11/2024,Measured ph and ec only ,18,5.4,1.84,50.4,16/11/2024,third clip (before third  split dose),30,5.4,1.84,50.4,6.979,,21/11/2024,ph/ec only,6,4.22,1.44,8/12/2024,ph/ec only,18,4.32,1.44,16/12/2024,Harvest Day,4.32,1.44,56.8,11.81,5.44,7.68,4.51,0,5.32,1025,,,
L6,L,17,2L6,2,L,UF,50,6,Split,20/09/2024,Before Fertilization ,,,5.48,0.2,5.1,,8/10/2024,after Fertilization first split dose ,6,5.12,1.22,26/10/2024,after Fertilization first split dose ,18,5.02,1.22,16/10/2024,First clip (before second split dose),30,4.78,1.81,6.84,,41,25/10/2024,Measured ph and ec only ,9,4.68,1.91,6/11/2024,Measured ph and ec only ,18,4.75,1.76,49.8,16/11/2024,third clip (before third  split dose),30,4.75,1.76,49.8,15.091,,21/11/2024,ph/ec only,6,4.65,0.85,8/12/2024,ph/ec only,18,4.75,0.85,16/12/2024,Harvest Day,4.75,0.85,65.3,17.31,7.24,11.86,5.4,0,5.75,1679,,,
L7,L,18,2L7,2,L,UF,60,7,Split,20/09/2024,Before Fertilization ,,,5.68,0.29,4.98,,8/10/2024,after Fertilization first split dose ,6,5.21,1.08,26/10/2024,after Fertilization first split dose ,18,5.11,1.08,16/10/2024,First clip (before second split dose),30,4.98,1.6,7.68,,44.8,25/10/2024,Measured ph and ec only ,9,4.88,1.7,6/11/2024,Measured ph and ec only ,18,5.33,1.96,43.3,16/11/2024,third clip (before third  split dose),30,5.33,1.96,43.3,17.499,,21/11/2024,ph/ec only,6,4.74,1.84,8/12/2024,ph/ec only,18,4.84,1.84,16/12/2024,Harvest Day,4.84,1.84,42.2,16.76,7.52,13.77,6.47,2,5.84,1679,,,
L8,L,19,2L8,2,L,MF,30,8,One-time,20/09/2024,Before Fertilization ,,,5.54,0.36,5.5,,8/10/2024,after Fertilization first split dose ,6,5.11,1.3,26/10/2024,after Fertilization first split dose ,18,5.01,1.3,16/10/2024,First clip (before second split dose),30,5.32,1.74,8.36,,45.5,25/10/2024,Measured ph and ec only ,9,5.22,1.84,6/11/2024,Measured ph and ec only ,18,6.11,0.85,47.6,16/11/2024,third clip (before third  split dose),30,6.11,0.85,47.6,13.771,,21/11/2024,ph/ec only,6,5.1,1.96,8/12/2024,ph/ec only,18,5.2,1.96,16/12/2024,Harvest Day,5.2,1.96,45.9,16.17,6.96,12.79,6.35,6,6.2,1457,,,
L9,L,20,2L9,2,L,MF,60,9,One-time,20/09/2024,Before Fertilization ,,,5.68,0.23,5.66,,8/10/2024,after Fertilization first split dose ,6,5.11,1.08,26/10/2024,after Fertilization first split dose ,18,5.01,1.08,16/10/2024,First clip (before second split dose),30,5.42,1.63,5.78,,39.9,25/10/2024,Measured ph and ec only ,9,5.32,1.73,6/11/2024,Measured ph and ec only ,18,5.95,1.96,43,16/11/2024,third clip (before third  split dose),30,5.95,1.96,43,11.239,,21/11/2024,ph/ec only,6,5.29,1.84,8/12/2024,ph/ec only,18,5.39,1.84,16/12/2024,Harvest Day,5.39,1.84,41.2,14.41,5.97,10.14,5.63,0,6.39,875,,,
L11,L,12,2L11,2,L,UF,60,11,One-time,20/09/2024,Before Fertilization ,,,5.64,0.36,5.1,,8/10/2024,after Fertilization first split dose ,6,4.69,1.21,26/10/2024,after Fertilization first split dose ,18,4.59,1.21,16/10/2024,First clip (before second split dose),30,4.51,1.34,6.29,,40.1,25/10/2024,Measured ph and ec only ,9,4.41,1.44,6/11/2024,Measured ph and ec only ,18,5.5,1.44,49,16/11/2024,third clip (before third  split dose),30,5.5,1.44,49,16.022,,21/11/2024,ph/ec only,6,5.46,1.89,8/12/2024,ph/ec only,18,5.56,1.89,16/12/2024,Harvest Day,5.56,1.89,44,14.85,7.22,12.97,6.31,0,6.56,1279,,,
L1,L,21,3L1,3,L,None,0,1,Split,20/09/2024,Before Fertilization ,,,5.64,0.28,5.1,,8/10/2024,after Fertilization first split dose ,6,5.95,1.3,26/10/2024,after Fertilization first split dose ,18,5.85,1.3,16/10/2024,First clip (before second split dose),30,5.55,1.34,10.34,,35,25/10/2024,Measured ph and ec only ,9,5.45,1.44,6/11/2024,Measured ph and ec only ,18,6.23,1.44,35.73,16/11/2024,third clip (before third  split dose),30,6.23,1.44,35.73,10.76,,21/11/2024,ph/ec only,6,5.75,1.73,8/12/2024,ph/ec only,18,5.85,1.73,16/12/2024,Harvest Day,5.85,1.73,40,10.66,5.88,10.55,5.1,2,6.85,759,,,
L2,L,24,3L2,3,L,UF,10,2,Split,20/09/2024,Before Fertilization ,,,5.68,0.25,5.3,,8/10/2024,after Fertilization first split dose ,6,5.19,1.3,26/10/2024,after Fertilization first split dose ,18,5.09,1.3,16/10/2024,First clip (before second split dose),30,5.32,0.75,7.51,,35.8,25/10/2024,Measured ph and ec only ,9,5.22,0.85,6/11/2024,Measured ph and ec only ,18,5.9,0.85,36.53,16/11/2024,third clip (before third  split dose),30,5.9,0.85,36.53,14.871,,21/11/2024,ph/ec only,6,5.88,1.96,8/12/2024,ph/ec only,18,5.98,1.96,16/12/2024,Harvest Day,5.98,1.96,46.9,17.17,7.62,14.23,7.14,13,6.98,2100,,,
