   S.No.,Sample Id,Plant type,Combined pot id,Block,Plant,Fertilizer type ,Dose  (N kg/ha),Treatment code,Application_method,Treatment_Type,                    Date &Time,Shoot_Si     (%),Shoot_Na(ppm),Shoot_Mg    (ppm),Shoot_Al   (ppm),Shoot_P   (ppm)  ,Shoot_K    (ppm)  ,Shoot_Ca  (ppm)   ,Shoot_Fe    (ppm),Shoot_Cl     (ppm),Shoot_SiO2 (%),Shoot_Ag     (cps)),Shoot_Cu (ppm),Shoot_Mn   (ppm),Shoot_S  (ppm)   ,Shoot_Zn  (ppm),Root_Si(%),Root_Na(ppm),Root_Mg(ppm),Root_Al   (ppm),Root_P   (ppm)  ,Root_K    (ppm)  ,Root_Ca  (ppm)   ,Root_Fe    (ppm),Root_Cl     (ppm),Root_SiO2 (%),Root_Ag     (cps)),Root_Cu (ppm),Root_Mn   (ppm),Root_S  (ppm)   ,Root_Zn  (ppm)
1,L1P1                           ,P,1L1,1,L,None,0,1,Split,Control,30/01/2025 20:49,1.213,5401,152,34,2360,29448,2715,260,42024,2.6,483.95,6,157,4947,58,5.392,465,1496,810,837,5889,1921,1522,8557,11.53,672.836,18,299,531,223
2,L1P2                           ,P,1L2,1,L,UF,10,2,Split,Fertilizer,30/01/2025 16:04,0.949,6193,-90,85,1717,23736,3694,302,47130,2.03,483.209,6,77,4682,47,10.237,-804,1647,1115,-561,2673,849,1854,5764,21.9,507.718,9,181,-786,116
3,L1P3                           ,P,1L3,1,L,UF,20,3,Split,Fertilizer,30/01/2025 18:44,0.609,3698,700,143,958,11884,3751,56,30965,1.3,358.377,4,82,4156,65,9.634,-206,1514,1390,-295,3694,1313,1899,8609,20.61,629.321,9,289,-139,192
4,L1P4                           ,P,1L4,1,L,UF,30,4,Split,Fertilizer,30/01/2025 16:39,0.696,6878,-249,30,1836,23542,3710,-17,50580,1.49,598.366,6,138,4106,55,12.646,-822,1560,1715,-740,2381,998,2541,6711,27.05,727.502,8,417,-1044,109
5,L1P5                           ,P,1L5,1,L,UF,40,5,Split,Fertilizer,30/01/2025 18:58,0.676,5545,50,61,1526,22156,4772,174,41515,1.45,545.659,5,118,3669,58,16.987,-1423,1675,1705,-1555,2255,858,2570,5534,36.33,938.852,6,265,-1488,89
6,L1P6                           ,P,1L6,1,L,UF,50,6,Split,Fertilizer,30/01/2025 19:11,1.037,6118,46,127,1515,22689,6395,10,46220,2.22,494.889,6,222,4392,83,9.984,3,1429,1367,-485,2846,1413,1822,10489,21.36,611.459,8,632,-199,182
7,L1P7                           ,P,1L7,1,L,UF,60,7,Split,Fertilizer,30/01/2025 19:42,0.564,5667,174,67,1511,20720,6161,-152,43321,1.21,451.381,5,237,3905,74,16.824,-1733,1733,1917,-1735,1096,960,1710,4377,35.99,735.504,6,591,-1796,68
8,L1P8                           ,P,1L8,1,L,MF,30,8,One-time,Fertilizer,30/01/2025 17:12,1.173,4641,478,86,1529,25929,3948,449,34843,2.51,591.694,6,149,6242,94,5.576,663,1442,533,533,5348,1440,1862,10922,11.93,497.495,17,249,1722,299
9,L1P9                           ,P,1L9,1,L,MF,60,9,One-time,Fertilizer,30/01/2025 16:32,0.994,5420,241,25,1584,25487,4372,102,41160,2.13,625.439,6,133,7421,31,12.333,-851,1627,1143,-732,3765,668,3080,6466,26.38,691.14,10,227,-845,137
10,L1P10                          ,P,1L10,1,L,UF,30,10,One-time,Fertilizer,30/01/2025 17:05,0.681,7533,-389,108,2253,17998,5949,-21,55574,1.46,567.739,5,151,5938,58,10.568,-561,1544,1138,-670,2616,1094,1997,7626,22.6,600.488,11,271,-621,165
11,L2P1                           ,P,2L1,2,L,None,0,1,Split,Control,30/01/2025 21:17,0.987,5440,152,109,980,23477,3450,404,41183,2.11,637.951,5,81,2555,28,14.143,-1207,1624,1662,-1331,2689,726,2573,5599,30.25,710.309,5,206,-1649,74
12,L2P2                           ,P,2L2,2,L,UF,10,2,Split,Fertilizer,30/01/2025 15:51,1.003,5336,329,77,2345,24480,2532,144,40424,2.15,566.363,6,138,5543,51,13.097,-1124,1641,1517,-758,2278,880,2228,4420,28.01,836.61,11,214,-919,92
13,L2P3                           ,P,2L3,2,L,UF,20,3,Split,Fertilizer,30/01/2025 20:16,0.988,6392,-5,92,1884,27403,3608,160,48236,2.11,449.163,6,155,4203,97,9.885,-678,1595,1222,-326,2658,771,2255,5858,21.14,634.625,8,206,-785,134
14,L2P4                           ,P,2L4,2,L,UF,30,4,Split,Fertilizer,30/01/2025 21:23,2.714,3992,539,314,862,23895,2477,900,32655,5.81,561.917,6,170,1937,79,4.971,392,1572,684,627,4162,1696,2051,7127,10.63,782.787,12,283,581,159
15,L2P5                           ,P,2L5,2,L,UF,40,5,Split,Fertilizer,30/01/2025 18:51,0.735,6441,-109,71,1947,23005,5331,51,49299,1.57,448.628,5,115,5036,93,19.299,-2169,1721,2351,-2083,962,598,2490,3282,41.28,813.608,6,250,-2143,84
16,L2P6                           ,P,2L6,2,L,UF,50,6,Split,Fertilizer,30/01/2025 17:53,0.83,5663,72,96,1610,22098,4214,25,43701,1.78,475.906,5,257,3926,69,9.984,3,1429,1367,-485,2846,1413,1822,10489,21.36,611.459,8,632,-199,182
17,L2P7                           ,P,2L7,2,L,UF,60,7,Split,Fertilizer,30/01/2025 20:30,0.916,5469,309,123,1468,28792,6703,-179,40224,1.96,542.857,5,487,3695,92,15.781,-1561,1684,1373,-1523,1916,810,3131,4267,33.76,783.572,9,552,-1669,151
18,L2P8                           ,P,2L8,2,L,MF,30,8,One-time,Fertilizer,30/01/2025 18:23,0.932,5435,110,71,1368,21008,3558,204,40874,1.99,622.529,5,64,4102,35,12.974,-1502,1731,1521,-1018,1873,774,2292,3438,27.75,537.048,7,195,-1388,93
19,L2P9                           ,P,2L9,2,L,MF,60,9,One-time,Fertilizer,30/01/2025 19:56,1.197,4803,490,18,2535,28143,2844,133,36446,2.56,502.125,6,138,5934,56,7.009,-17,1555,861,490,5244,1428,2541,7168,14.99,636.718,20,268,157,265
20,L2P11                          ,P,2L11,2,L,UF,60,11,One-time,Fertilizer,30/01/2025 20:03,0.868,5308,323,41,1284,28104,7509,-59,40316,1.86,489.078,6,324,3550,109,15.918,-1477,1712,1300,-1589,1685,1135,4133,4449,34.05,832.194,9,690,-1585,116
21,L3P1                           ,P,3L1,3,L,None,0,1,Split,Control,30/01/2025 18:17,1.07,5464,217,117,2625,23694,3504,123,40668,2.29,594.394,6,154,5790,63,15.616,-1775,1683,1706,-1410,1800,526,2691,3529,33.4,636.633,9,213,-1882,49
22,L3P2                           ,P,3L2,3,L,UF,10,2,Split,Fertilizer,30/01/2025 16:18,1.194,4658,393,141,2006,23626,2334,363,35590,2.55,558.653,6,123,3321,33,11.906,-1225,1723,2143,-814,1864,726,2686,3705,25.47,667.4,11,311,-1347,71
23,L3P3                           ,P,3L3,3,L,UF,20,3,Split,Fertilizer,30/01/2025 18:37,0.795,4755,401,71,2635,21473,2425,84,37462,1.7,416.829,5,133,3575,39,13.499,-1545,1683,1817,-1027,2396,552,2416,3355,28.88,642.414,8,237,-1507,74
24,L3P4                           ,P,3L4,3,L,UF,30,4,Split,Fertilizer,30/01/2025 21:10,0.742,4796,311,108,2166,22090,2276,129,36935,1.59,483.519,5,127,2662,35,3.185,-209,1654,619,398,863,1686,1030,3115,6.81,423.534,18,225,5,69
25,L3P5                           ,P,3L5,3,L,UF,40,5,Split,Fertilizer,30/01/2025 20:23,0.949,5822,57,109,1559,21665,3457,62,44682,2.03,365.789,5,155,3715,92,9.887,-269,1617,1333,-391,2888,864,5826,7419,21.15,885.838,9,267,-496,97
26,L3P6                           ,P,3L6,3,L,UF,50,6,Split,Fertilizer,30/01/2025 19:18,1.028,5156,223,190,1470,16750,3658,-12,40232,2.2,502.791,5,315,3533,54,7.736,-198,1499,1176,-24,3074,935,1679,7658,16.55,532.8,7,526,-264,144
27,L3P7                           ,P,3L7,3,L,UF,60,7,Split,Fertilizer,30/01/2025 15:44,0.652,5420,158,112,1687,18677,2342,153,41250,1.4,478.669,5,79,3136,33,4.804,67,1635,867,492,3568,1649,2378,5351,10.28,671.544,15,238,-26,49
28,L3P10                          ,P,3L10,3,L,UF,30,10,One-time,Fertilizer,30/01/2025 15:58,1.309,5209,285,143,2265,21669,2782,523,39167,2.8,527.391,6,156,5111,31,11.269,-1048,1649,1302,-643,3290,676,2150,5322,24.11,520.797,9,204,-1107,85
29,L3P11                          ,P,3L11,3,L,UF,60,11,One-time,Fertilizer,30/01/2025 19:49,0.743,4567,471,80,2509,21044,3191,-270,34321,1.59,463.274,6,374,4369,43,3.745,-517,1706,467,326,738,673,1258,2102,8.01,507.575,9,308,-1163,128
30,L4P1                           ,P,4L1,4,L,None,0,1,Split,Control,30/01/2025 20:43,1.206,3811,693,130,2558,22284,2090,228,28758,2.58,626.268,5,155,3478,28,10.806,-857,1647,1114,-371,3497,1038,2761,4284,23.11,654.492,16,220,-947,86
31,L4P2                           ,P,4L2,4,L,UF,10,2,Split,Fertilizer,30/01/2025 18:30,1.024,5686,155,105,1866,21700,3284,162,43004,2.19,605.106,5,125,4676,34,13.994,-1428,1738,1885,-1088,2105,671,2479,4290,29.93,687.75,9,257,-1455,76
32,L4P3                           ,P,4L3,4,L,UF,20,3,Split,Fertilizer,30/01/2025 18:00,1.098,4174,574,108,2331,22505,2566,126,32092,2.35,479.837,5,184,4211,44,14.961,-1554,1746,2101,-1253,1816,460,1968,3252,32,862.918,9,251,-1592,58
33,L4P4                           ,P,4L4,4,L,UF,30,4,Split,Fertilizer,30/01/2025 19:35,0.673,5842,15,96,1689,16537,3749,-54,43952,1.44,532.722,5,207,3572,41,17.76,-2009,1773,2415,-1814,1256,439,2384,3368,37.99,785.924,6,298,-2047,49
34,L4P5                           ,P,4L5,4,L,UF,40,5,Split,Fertilizer,30/01/2025 17:25,0.726,4958,220,107,1574,21605,2320,143,37809,1.55,524.357,6,137,2674,36,14.737,-1494,1709,2206,-1247,1951,450,2587,3489,31.52,864.308,7,240,-1720,40
35,L4P6                           ,P,4L6,4,L,UF,50,6,Split,Fertilizer,30/01/2025 16:11,0.624,5331,160,78,1712,20291,2772,-9,40988,1.33,521.198,5,194,3713,57,15.636,-1694,1708,1967,-1443,1144,610,2586,3713,33.45,766.171,8,282,-1796,77
36,L4P7                           ,P,4L7,4,L,UF,60,7,Split,Fertilizer,30/01/2025 16:58,1.697,4263,473,249,1457,19679,1861,547,34135,3.63,471.041,6,168,2491,80,14.089,-1662,1747,1757,-1214,885,444,1728,2291,30.14,702.981,7,177,-1671,52
37,L4P9                           ,P,4L9,4,L,MF,60,9,One-time,Fertilizer,30/01/2025 17:19,1.354,3812,825,104,4087,24511,2704,133,29408,2.9,554.573,6,251,5851,34,15.542,-1886,1769,1455,-1418,1205,505,1937,2108,33.24,700.118,15,182,-1750,67
38,L4P10                          ,P,4L10,4,L,UF,30,10,One-time,Fertilizer,30/01/2025 20:56,1.022,4476,388,126,2364,19002,3096,34,34705,2.19,383.536,6,184,4953,49,17.059,-2122,1743,2055,-1699,1145,463,2362,2787,36.49,580.115,8,225,-1960,80
44,L5P1                           ,P,5L1,5,L,None,0,1,Split,Control,30/01/2025 19:05,0.915,5212,296,90,1882,21093,3580,86,40177,1.96,384.708,5,115,5727,41,16.321,-1674,1638,1618,-1548,1647,439,2249,4034,34.91,820.825,9,198,-1863,67
40,L5P2                           ,P,5L2,5,L,UF,10,2,Split,Fertilizer,30/01/2025 19:29,1.924,4098,653,264,2400,22400,2997,583,32408,4.12,584.851,6,194,5199,34,6.937,-209,1810,765,326,1920,902,2576,2445,14.84,756.85,8,257,-1138,56
41,L5P3                           ,P,5L3,5,L,UF,20,3,Split,Fertilizer,30/01/2025 17:39,0.84,5702,112,63,2634,22609,2948,62,42271,1.8,556.89,5,184,4660,30,8.388,-632,1609,1042,-204,2371,1060,2485,4933,17.94,532.587,20,262,-716,75
42,L5P4                           ,P,5L4,5,L,UF,30,4,Split,Fertilizer,30/01/2025 17:32,0.818,4375,542,122,2012,19714,2840,76,33398,1.75,515.653,4,158,3451,33,11.622,-1148,1675,1481,-712,1581,723,2346,3792,24.86,653.03,13,269,-1156,70
43,L5P5                           ,P,5L5,5,L,UF,40,5,Split,Fertilizer,30/01/2025 16:25,1.217,5813,29,135,1623,23180,2970,559,44650,2.6,479.912,6,141,3778,53,11.375,-694,1653,1797,-528,2282,724,2093,5817,24.33,630.618,9,287,-824,103
44,L5P6                           ,P,5L6,5,L,UF,50,6,Split,Fertilizer,30/01/2025 21:03,0.829,5604,202,100,1795,25413,2608,134,41475,1.77,512.766,6,177,3357,79,11.204,-1123,1712,1610,-618,2384,570,2209,3324,23.97,715.142,7,231,-1356,87
45,L5P7                           ,P,5L7,5,L,UF,60,7,Split,Fertilizer,30/01/2025 20:10,0.67,5848,28,73,1798,22583,2318,63,44844,1.43,354.016,5,141,3415,71,12.571,-1213,1714,1550,-857,2020,654,2351,3809,26.89,690.062,8,293,-1291,71
46,L5P8                           ,P,5L8,5,L,MF,30,8,One-time,Fertilizer,30/01/2025 16:46,1.126,4259,419,83,1509,20208,2406,17,34928,2.41,370.262,5,178,3373,20,12.145,-1176,1682,1172,-664,3040,604,2293,4776,25.98,544.055,12,246,-1055,87
47,L5P11,P,5L11,5,L,UF,60,11,One-time,Fertilizer,30/01/2025 19:49,0.743,4567,471,80,2509,21044,3191,-270,34321,1.59,463.274,6,374,4369,43,11.685,-1211,1723,1873,-708,2270,883,2009,4468,24.99,565.246,7,331,-1120,106
