Pot ID,Plant_type,Block,Fertilizer_type ,Dose_(N kg/ha),Application_method,Date,Action_Item,Plant_height,Stem_count,pH_35days,EC (uS/cm)_35days,Fresh_Biomass (gm)_35days,Date,Action_Item,pH_41days ,EC (uS/cm)_41days,Date,Action_Item,pH_53days,EC (uS/cm)_53days,Date,Action_Item,pH_66days,EC(uS/cm)_66days,Spad_Value_66days,Fresh_Biomass(gm)_66days,Date,Action_Item,pH_77days,EC(uS/cm)_77days,Date,Action_Item,pH_87days,EC(uS/cm)_87days,Date,Action_Item,pH_95days,EC(uS/cm)_95days,Spad_Value_95days,Fresh_Biomass (gm)_95days,Date,Action_Item,ph_125daysHD,EC_125daysHD,plant height ,stem count,Spad_Value_125daysHD,Fresh_shoot_  Biomass(g)_125daysHD ,Fresh_root_biomass(g)_125daysHD,Lechates_Ph_125daysHD,Lechates_EC_125daysHD,Notes
P4,L,1,UF,30,Split,3/09/2024,Before Fertilization ,32,2,6.4,0.2,6.7,8/09/2024,after fertilization,5.92,0.2,20/09/2024,after fertilization,6.02,0.2,3/10/2024,First clip (before second split dose),6.12,0.29,38.2,10.67,15/10/2024,Measured ph and ec only ,6.02,0.39,25/10/2024,Measured ph and ec only ,5.9,0.9,3/11/2024,third dose of split fertilizer ,6.1,1.87,39.55,17.54,4/12/2024,Harvest Day,5.7,1.5,,,30.2,27.22,28.26,5.99,727,WATER DETAILS FOR IRRIGATION 
P2,L,1,UF,10,Split,3/09/2024,Before Fertilization ,28,2,6.2,0.3,5.744,8/09/2024,after fertilization,5.77,0.21,20/09/2024,after fertilization,5.87,0.21,3/10/2024,First clip (before second split dose),5.97,0.3,36.2,7.044,15/10/2024,Measured ph and ec only ,5.87,0.4,25/10/2024,Measured ph and ec only ,5.75,2.01,3/11/2024,third dose of split fertilizer ,6.43,1.53,37.55,12.38,4/12/2024,Harvest Day,5.89,2.35,,,29.6,20.25,19.31,6.12,1100,PH= 7.05
P8,L,1,MF,30,One-time,3/09/2024,Before Fertilization ,30,2,6.21,0.23,5.717,8/09/2024,after fertilization,5.58,0.221,20/09/2024,after fertilization,5.68,0.221,3/10/2024,First clip (before second split dose),5.78,0.212,35.1,7.017,15/10/2024,Measured ph and ec only ,5.68,0.312,25/10/2024,Measured ph and ec only ,5.56,1.89,3/11/2024,third dose of split fertilizer ,5.89,1.81,36.45,17.97,4/12/2024,Harvest Day,5.54,2.34,,,36.6,16.11,11.36,5.34,1746,EC=346.2 uS. 
P6,L,1,UF,50,Split,3/09/2024,Before Fertilization ,34,2,6.31,0.35,6.32,8/09/2024,after fertilization,5.28,0.321,20/09/2024,after fertilization,5.38,0.321,3/10/2024,First clip (before second split dose),5.48,0.211,36.1,8.834,15/10/2024,Measured ph and ec only ,5.38,0.311,25/10/2024,Measured ph and ec only ,5.26,1.96,3/11/2024,third dose of split fertilizer ,5.4,1.92,37.45,19.15,4/12/2024,Harvest Day,5.14,3.27,,,33.6,29.72,27.37,5.98,794,
P9,L,1,MF,60,One-time,3/09/2024,Before Fertilization ,30,2,6.24,0.32,6.98,8/09/2024,after fertilization,5.02,0.211,20/09/2024,after fertilization,5.12,0.211,3/10/2024,First clip (before second split dose),5.22,0.27,36,7.2502,15/10/2024,Measured ph and ec only ,5.12,0.37,25/10/2024,Measured ph and ec only ,5,1.94,3/11/2024,third dose of split fertilizer ,6.2,1.84,37.35,11.37,4/12/2024,Harvest Day,5.81,2.5,,,34,18.95,32.4,6.01,949,
P5,L,1,UF,40,Split,3/09/2024,Before Fertilization ,29,2,6.28,0.35,6.41,8/09/2024,after fertilization,4.84,0.231,20/09/2024,after fertilization,4.94,0.231,3/10/2024,First clip (before second split dose),5.04,0.24,36.2,7.71,15/10/2024,Measured ph and ec only ,4.94,0.34,25/10/2024,Measured ph and ec only ,4.82,1.78,3/11/2024,third dose of split fertilizer ,5.6,2.39,37.55,18.52,4/12/2024,Harvest Day,5.29,1.67,,,30.6,27.83,25.63,6.08,759,
P3,L,1,UF,20,Split,3/09/2024,Before Fertilization ,30,2,6.35,0.36,5.98,8/09/2024,after fertilization,4.48,0.211,20/09/2024,after fertilization,4.58,0.211,3/10/2024,First clip (before second split dose),4.68,0.22,36.5,8.88,15/10/2024,Measured ph and ec only ,4.58,0.32,25/10/2024,Measured ph and ec only ,4.46,1.81,3/11/2024,third dose of split fertilizer ,5.99,1.87,37.85,18.18,4/12/2024,Harvest Day,5.18,2.03,,,37.5,29.36,30.06,5.97,872,
P1,L,1,UF,0,Split,3/09/2024,Before Fertilization ,24,2,6.34,0.29,6.33,8/09/2024,after fertilization,4.96,0.3,20/09/2024,after fertilization,5.06,0.3,3/10/2024,First clip (before second split dose),5.16,0.21,35.9,9.17,15/10/2024,Measured ph and ec only ,5.06,0.31,25/10/2024,Measured ph and ec only ,4.94,1.75,3/11/2024,third dose of split fertilizer ,6.45,1.9,37.25,12.19,4/12/2024,Harvest Day,5.7,1.53,,,32.2,18.12,20.73,6.1,875,
P7,L,1,UF,60,Split,3/09/2024,Before Fertilization ,29,2,6.25,0.35,6.7,8/09/2024,after fertilization,5.01,0.231,20/09/2024,after fertilization,5.11,0.231,3/10/2024,First clip (before second split dose),5.21,0.212,35.9,9.1807,15/10/2024,Measured ph and ec only ,5.11,0.312,25/10/2024,Measured ph and ec only ,4.99,1.67,3/11/2024,third dose of split fertilizer ,5.22,1.78,37.25,18.64,4/12/2024,Harvest Day,4.34,2.01,,,31.9,28.04,27.57,5.55,1025,
P10,L,1,UF,30,One-time,3/09/2024,Before Fertilization ,32,2,6.12,0.36,5.744,8/09/2024,after fertilization,5.42,0.32,20/09/2024,after fertilization,5.52,0.32,3/10/2024,First clip (before second split dose),5.62,0.22,35.9,5.59,15/10/2024,Measured ph and ec only ,5.52,0.32,25/10/2024,Measured ph and ec only ,5.4,1.49,3/11/2024,third dose of split fertilizer ,6.11,1.57,37.25,14.61,4/12/2024,Harvest Day,5.41,1.52,,,21.5,18.64,28.9,5.9,920,
P6,L,2,UF,50,Split,3/09/2024,Before Fertilization ,32,2,6.4,0.35,5.717,8/09/2024,after fertilization,5.75,0.29,20/09/2024,after fertilization,5.85,0.29,3/10/2024,First clip (before second split dose),5.95,0.2,35.6,9.9562,15/10/2024,Measured ph and ec only ,5.85,0.3,25/10/2024,Measured ph and ec only ,5.73,1.96,3/11/2024,third dose of split fertilizer ,5.45,1.98,36.95,19.26,4/12/2024,Harvest Day,5.14,2.01,,,36.7,33.33,25.97,5.94,827,
P1,L,2,UF,0,Split,3/09/2024,Before Fertilization ,32,2,6.2,0.34,6.32,8/09/2024,after fertilization,5.46,0.3,20/09/2024,after fertilization,5.56,0.3,3/10/2024,First clip (before second split dose),5.66,0.21,36,12.384,15/10/2024,Measured ph and ec only ,5.56,0.31,25/10/2024,Measured ph and ec only ,5.44,1.94,3/11/2024,third dose of split fertilizer ,6.44,1.96,37.35,16.08,4/12/2024,Harvest Day,6.1,1.53,,,29.9,15.94,12.98,6.59,1457,
P9,L,2,MF,60,One-time,3/09/2024,Before Fertilization ,31,2,6.21,0.32,6.98,8/09/2024,after fertilization,5.26,0.212,20/09/2024,after fertilization,5.36,0.212,3/10/2024,First clip (before second split dose),5.46,0.221,37,10.134,15/10/2024,Measured ph and ec only ,5.36,0.321,25/10/2024,Measured ph and ec only ,5.24,1.78,3/11/2024,third dose of split fertilizer ,6.24,1.81,38.35,13.93,4/12/2024,Harvest Day,5.42,2.21,,,32.2,20.51,15.04,5.54,1679,
P5,L,2,UF,40,Split,3/09/2024,Before Fertilization ,31,2,6.31,0.25,6.41,8/09/2024,after fertilization,5.31,0.211,20/09/2024,after fertilization,5.41,0.211,3/10/2024,First clip (before second split dose),5.51,0.321,40.22,10.191,15/10/2024,Measured ph and ec only ,5.41,0.421,25/10/2024,Measured ph and ec only ,5.29,1.81,3/11/2024,third dose of split fertilizer ,5.75,1.71,41.57,18.83,4/12/2024,Harvest Day,4.98,2.35,,,34.3,29.12,24.29,5.87,1279,
P3,L,2,UF,20,Split,3/09/2024,Before Fertilization ,31,2,6.24,0.31,5.98,8/09/2024,after fertilization,4.92,0.27,20/09/2024,after fertilization,5.02,0.27,3/10/2024,First clip (before second split dose),5.12,0.211,39.8,12.203,15/10/2024,Measured ph and ec only ,5.02,0.311,25/10/2024,Measured ph and ec only ,4.9,0.9,3/11/2024,third dose of split fertilizer ,6.05,1.79,41.15,17.26,4/12/2024,Harvest Day,5.65,4.74,,,31.7,26.59,24.15,6.01,1279,
P4,L,2,UF,30,Split,3/09/2024,Before Fertilization ,39,2,6.28,0.32,6.33,8/09/2024,after fertilization,4.28,0.24,20/09/2024,after fertilization,4.38,0.24,3/10/2024,First clip (before second split dose),4.48,0.231,25.7,14.133,15/10/2024,Measured ph and ec only ,4.38,0.331,25/10/2024,Measured ph and ec only ,4.26,2.01,3/11/2024,third dose of split fertilizer ,6.1,2.25,27.05,17.85,4/12/2024,Harvest Day,5.27,2.28,,,37.8,27.52,19.61,5.85,2191,
P8,L,2,MF,30,One-time,3/09/2024,Before Fertilization ,38,2,6.35,0.31,6.7,8/09/2024,after fertilization,4.98,0.22,20/09/2024,after fertilization,5.08,0.22,3/10/2024,First clip (before second split dose),5.18,0.211,37.7,11.326,15/10/2024,Measured ph and ec only ,5.08,0.311,25/10/2024,Measured ph and ec only ,4.96,1.89,3/11/2024,third dose of split fertilizer ,5.76,2.75,39.05,18.33,4/12/2024,Harvest Day,5.94,2.26,,,38.6,15.24,20.08,6.01,731,
P7,L,2,UF,60,Split,3/09/2024,Before Fertilization ,18,2,6.34,0.29,5.744,8/09/2024,after fertilization,4.78,0.21,20/09/2024,after fertilization,4.88,0.21,3/10/2024,First clip (before second split dose),4.98,0.3,35.6,6.5482,15/10/2024,Measured ph and ec only ,4.88,0.4,25/10/2024,Measured ph and ec only ,4.76,1.75,3/11/2024,third dose of split fertilizer ,5.32,1.71,36.95,13.89,4/12/2024,Harvest Day,4.82,1.62,,,29.2,21.24,15.15,5.85,2163,
P2,L,2,UF,10,Split,3/09/2024,Before Fertilization ,30,2,6.25,0.28,5.717,8/09/2024,after fertilization,4.88,0.212,20/09/2024,after fertilization,4.98,0.212,3/10/2024,First clip (before second split dose),5.08,0.231,43.9,11.4365,15/10/2024,Measured ph and ec only ,4.98,0.331,25/10/2024,Measured ph and ec only ,4.86,1.67,3/11/2024,third dose of split fertilizer ,6.24,1.71,45.25,17.87,4/12/2024,Harvest Day,5.5,2.28,,,35.9,23.67,22.56,6.01,2100,
P11,L,2,UF,60,One-time,3/09/2024,Before Fertilization ,32,2,6.12,0.24,6.32,8/09/2024,after fertilization,4.46,0.22,20/09/2024,after fertilization,4.56,0.22,3/10/2024,First clip (before second split dose),4.66,0.32,41.6,7.0154,15/10/2024,Measured ph and ec only ,4.56,0.42,25/10/2024,Measured ph and ec only ,4.44,1.49,3/11/2024,third dose of split fertilizer ,5.8,1.79,42.95,11.76,4/12/2024,Harvest Day,5.29,1.65,,,35.4,25.95,19.36,5.3,2400,
P5,L,3,UF,40,Split,3/09/2024,Before Fertilization ,32,2,6.4,0.2,6.98,8/09/2024,after fertilization,4.5,0.192,20/09/2024,after fertilization,4.6,0.192,3/10/2024,First clip (before second split dose),4.7,0.29,32.2,13.3896,15/10/2024,Measured ph and ec only ,4.6,0.39,25/10/2024,Measured ph and ec only ,4.48,1.94,3/11/2024,third dose of split fertilizer ,5.52,1.97,33.55,18.75,4/12/2024,Harvest Day,4.99,2.21,,,33.1,29,33.24,5.59,1746,
P6,L,3,UF,50,Split,3/09/2024,Before Fertilization ,40,2,6.2,0.3,6.41,8/09/2024,after fertilization,4.83,0.21,20/09/2024,after fertilization,4.93,0.21,3/10/2024,First clip (before second split dose),5.03,0.3,41.1,15.1773,15/10/2024,Measured ph and ec only ,4.93,0.4,25/10/2024,Measured ph and ec only ,4.81,1.78,3/11/2024,third dose of split fertilizer ,5.51,1.96,42.45,20.24,4/12/2024,Harvest Day,5.04,1.87,,,29.3,32.54,26.36,5.64,794,
P10,L,3,UF,30,One-time,3/09/2024,Before Fertilization ,34,2,6.21,0.23,5.98,8/09/2024,after fertilization,4.7,0.211,20/09/2024,after fertilization,4.8,0.211,3/10/2024,First clip (before second split dose),4.9,0.212,45.8,8.028,15/10/2024,Measured ph and ec only ,4.8,0.312,25/10/2024,Measured ph and ec only ,4.68,1.81,3/11/2024,third dose of split fertilizer ,6.19,1.81,47.15,10.17,4/12/2024,Harvest Day,5.35,2.04,,,22.1,16.38,18.67,5.95,949,
P2,L,3,UF,10,Split,3/09/2024,Before Fertilization ,27,2,6.31,0.35,6.33,8/09/2024,after fertilization,4.65,0.212,20/09/2024,after fertilization,4.75,0.212,3/10/2024,First clip (before second split dose),4.85,0.211,35.9,9.8405,15/10/2024,Measured ph and ec only ,4.75,0.311,25/10/2024,Measured ph and ec only ,4.63,0.9,3/11/2024,third dose of split fertilizer ,6.39,1.71,37.25,13.21,4/12/2024,Harvest Day,5.6,2.35,,,26.6,20.98,26.62,6.2,759,
P7,L,3,UF,60,Split,3/09/2024,Before Fertilization ,32,2,6.24,0.32,6.7,8/09/2024,after fertilization,4.78,0.213,20/09/2024,after fertilization,4.88,0.213,3/10/2024,First clip (before second split dose),4.98,0.27,42.4,16.2056,15/10/2024,Measured ph and ec only ,4.88,0.37,25/10/2024,Measured ph and ec only ,4.76,2.01,3/11/2024,third dose of split fertilizer ,6.02,1.79,43.75,19.48,4/12/2024,Harvest Day,4.8,2.36,,,27,27.62,27.72,5.4,872,
P4,L,3,UF,30,Split,3/09/2024,Before Fertilization ,30,2,6.28,0.35,5.744,8/09/2024,after fertilization,4.73,0.212,20/09/2024,after fertilization,4.83,0.212,3/10/2024,First clip (before second split dose),4.93,0.24,28.6,15.4624,15/10/2024,Measured ph and ec only ,4.83,0.34,25/10/2024,Measured ph and ec only ,4.71,1.89,3/11/2024,third dose of split fertilizer ,6.02,2.25,29.95,16,4/12/2024,Harvest Day,5.35,3.1,,,31.3,27.74,29.42,5.95,875,
P3,L,3,UF,20,Split,3/09/2024,Before Fertilization ,34,2,6.35,0.36,5.717,8/09/2024,after fertilization,4.65,0.22,20/09/2024,after fertilization,4.75,0.22,3/10/2024,First clip (before second split dose),4.85,0.22,22.9,15.377,15/10/2024,Measured ph and ec only ,4.75,0.32,25/10/2024,Measured ph and ec only ,4.63,1.75,3/11/2024,third dose of split fertilizer ,6.07,2.75,24.25,15.82,4/12/2024,Harvest Day,5.55,2.9,,,29.2,24.35,42.42,6.15,1025,
P11,L,3,UF,60,One-time,3/09/2024,Before Fertilization ,40,2,6.34,0.29,6.32,8/09/2024,after fertilization,4.2,0.231,20/09/2024,after fertilization,4.3,0.231,3/10/2024,First clip (before second split dose),4.4,0.21,37.9,18.7626,15/10/2024,Measured ph and ec only ,4.3,0.31,25/10/2024,Measured ph and ec only ,4.18,1.67,3/11/2024,third dose of split fertilizer ,5.72,1.71,39.25,26.52,4/12/2024,Harvest Day,5.22,2.8,,,33.9,24.66,31.4,5.82,920,
P1,L,3,UF,0,Split,3/09/2024,Before Fertilization ,24,2,6.25,0.35,6.98,8/09/2024,after fertilization,4.8,0.25,20/09/2024,after fertilization,4.9,0.25,3/10/2024,First clip (before second split dose),5,0.212,30,10.63,15/10/2024,Measured ph and ec only ,4.9,0.312,25/10/2024,Measured ph and ec only ,4.78,1.49,3/11/2024,third dose of split fertilizer ,5.96,1.45,31.35,7.76,4/12/2024,Harvest Day,6.01,2.89,,,27.9,18.28,35,6.61,827,
P6,L,4,UF,50,Split,3/09/2024,Before Fertilization ,30,2,6.4,0.35,6.41,8/09/2024,after fertilization,4.85,0.29,20/09/2024,after fertilization,4.95,0.29,3/10/2024,First clip (before second split dose),5.05,0.22,35.8,15.637,15/10/2024,Measured ph and ec only ,4.95,0.32,25/10/2024,Measured ph and ec only ,4.83,0.9,3/11/2024,third dose of split fertilizer ,5.34,2.8,37.15,21.79,4/12/2024,Harvest Day,4.99,1.99,,,28.7,35.26,33.79,5.59,1025,
P2,L,4,UF,10,Split,3/09/2024,Before Fertilization ,34,2,6.2,0.34,5.98,8/09/2024,after fertilization,4.95,0.3,20/09/2024,after fertilization,5.05,0.3,3/10/2024,First clip (before second split dose),5.15,0.192,32.1,15.2889,15/10/2024,Measured ph and ec only ,5.05,0.292,25/10/2024,Measured ph and ec only ,4.93,2.01,3/11/2024,third dose of split fertilizer ,5.96,1.76,33.45,14.38,4/12/2024,Harvest Day,5.7,2.1,,,29.1,23.12,20.25,6.3,920,
P4,L,4,UF,30,Split,3/09/2024,Before Fertilization ,33,2,6.21,0.32,6.33,8/09/2024,after fertilization,4.8,0.212,20/09/2024,after fertilization,4.9,0.212,3/10/2024,First clip (before second split dose),5,0.21,40,8.2889,15/10/2024,Measured ph and ec only ,4.9,0.31,25/10/2024,Measured ph and ec only ,4.78,1.89,3/11/2024,third dose of split fertilizer ,5.6,1.67,41.35,15.85,4/12/2024,Harvest Day,5.01,2.14,,,29.7,28.39,30.1,5.61,827,
P10,L,4,UF,30,One-time,3/09/2024,Before Fertilization ,29,2,6.31,0.25,6.7,8/09/2024,after fertilization,4.81,0.211,20/09/2024,after fertilization,4.91,0.211,3/10/2024,First clip (before second split dose),5.01,0.211,43.4,16.2023,15/10/2024,Measured ph and ec only ,4.91,0.311,25/10/2024,Measured ph and ec only ,4.79,1.75,3/11/2024,third dose of split fertilizer ,5.97,1.86,44.75,19.64,4/12/2024,Harvest Day,5.35,2.61,,,29.9,20.77,21.31,5.95,1457,
P9,L,4,MF,60,One-time,3/09/2024,Before Fertilization ,34,2,6.24,0.31,5.744,8/09/2024,after fertilization,4.72,0.27,20/09/2024,after fertilization,4.82,0.27,3/10/2024,First clip (before second split dose),4.92,0.212,40.4,11.6167,15/10/2024,Measured ph and ec only ,4.82,0.312,25/10/2024,Measured ph and ec only ,4.7,1.67,3/11/2024,third dose of split fertilizer ,6.18,1.87,41.75,11.58,4/12/2024,Harvest Day,5.3,2.23,,,29.8,18.51,29.17,5.9,1679,
P5,L,4,UF,40,Split,3/09/2024,Before Fertilization ,40,2,6.28,0.32,5.717,8/09/2024,after fertilization,4.82,0.24,20/09/2024,after fertilization,4.92,0.24,3/10/2024,First clip (before second split dose),5.02,0.213,37.6,11.6625,15/10/2024,Measured ph and ec only ,4.92,0.313,25/10/2024,Measured ph and ec only ,4.8,1.49,3/11/2024,third dose of split fertilizer ,5.74,1.53,38.95,18.59,4/12/2024,Harvest Day,5.35,2.87,,,31.4,26.72,30.9,5.95,1279,
P1,L,4,UF,0,Split,3/09/2024,Before Fertilization ,11,2,6.35,0.31,6.32,8/09/2024,after fertilization,4.85,0.22,20/09/2024,after fertilization,4.95,0.22,3/10/2024,First clip (before second split dose),5.05,0.212,30.4,10.2866,15/10/2024,Measured ph and ec only ,4.95,0.312,25/10/2024,Measured ph and ec only ,4.83,1.96,3/11/2024,third dose of split fertilizer ,6.1,1.81,31.75,14.04,4/12/2024,Harvest Day,5.9,2.86,,,31.9,22.14,24.18,6.5,1279,
P7,L,4,UF,60,Split,3/09/2024,Before Fertilization ,30,2,6.34,0.29,6.98,8/09/2024,after fertilization,4.9,0.21,20/09/2024,after fertilization,5,0.21,3/10/2024,First clip (before second split dose),5.1,0.22,29.8,16.027,15/10/2024,Measured ph and ec only ,5,0.32,25/10/2024,Measured ph and ec only ,4.88,1.94,3/11/2024,third dose of split fertilizer ,5.3,1.92,31.15,24.14,4/12/2024,Harvest Day,4.85,2.84,,,32.1,26.18,41.82,5.45,2191,
P3,L,4,UF,20,Split,3/09/2024,Before Fertilization ,38,2,6.25,0.28,6.41,8/09/2024,after fertilization,4.85,0.212,20/09/2024,after fertilization,4.95,0.212,3/10/2024,First clip (before second split dose),5.05,0.231,38.8,15.907,15/10/2024,Measured ph and ec only ,4.95,0.331,25/10/2024,Measured ph and ec only ,4.83,1.78,3/11/2024,third dose of split fertilizer ,5.69,1.84,40.15,12.58,4/12/2024,Harvest Day,5.45,1.95,,,25.4,21.48,26.78,6.05,731,
P5,L,5,UF,40,Split,3/09/2024,Before Fertilization ,33,2,6.4,0.35,5.98,8/09/2024,after fertilization,4.7,0.22,20/09/2024,after fertilization,4.8,0.22,3/10/2024,First clip (before second split dose),4.9,0.192,40.7,10.6408,15/10/2024,Measured ph and ec only ,4.8,0.292,25/10/2024,Measured ph and ec only ,4.68,0.9,3/11/2024,third dose of split fertilizer ,5.52,1.87,42.05,18.48,4/12/2024,Harvest Day,5.46,2.39,,,28.5,33.92,28.66,6.06,1025,
P11,L,5,UF,60,One-time,3/09/2024,Before Fertilization ,21,2,6.2,0.34,6.33,8/09/2024,after fertilization,4.5,0.192,20/09/2024,after fertilization,4.6,0.192,3/10/2024,First clip (before second split dose),4.7,0.21,41,12.4093,15/10/2024,Measured ph and ec only ,4.6,0.31,25/10/2024,Measured ph and ec only ,4.48,2.01,3/11/2024,third dose of split fertilizer ,5.9,1.9,42.35,27.33,4/12/2024,Harvest Day,5.52,2.01,,,29.6,27.94,23.31,6.12,920,
P1,L,5,UF,0,Split,3/09/2024,Before Fertilization ,29,2,6.21,0.32,6.7,8/09/2024,after fertilization,5.05,0.21,20/09/2024,after fertilization,5.15,0.21,3/10/2024,First clip (before second split dose),5.25,0.211,34.2,8.5135,15/10/2024,Measured ph and ec only ,5.15,0.311,25/10/2024,Measured ph and ec only ,5.03,1.96,3/11/2024,third dose of split fertilizer ,6.07,1.78,35.55,11,4/12/2024,Harvest Day,5.75,2.17,,,28.8,17.58,25.6,6.35,827,
P8,L,5,MF,30,One-time,3/09/2024,Before Fertilization ,34,2,6.31,0.25,5.744,8/09/2024,after fertilization,4.7,0.211,20/09/2024,after fertilization,4.8,0.211,3/10/2024,First clip (before second split dose),4.9,0.212,38.4,9.0416,15/10/2024,Measured ph and ec only ,4.8,0.312,25/10/2024,Measured ph and ec only ,4.68,1.94,3/11/2024,third dose of split fertilizer ,5.82,1.57,39.75,8.53,4/12/2024,Harvest Day,5.78,1.94,,,27.3,17.19,21.6,6.38,1457,
P6,L,5,UF,50,Split,3/09/2024,Before Fertilization ,36,2,6.24,0.31,5.717,8/09/2024,after fertilization,4.82,0.212,20/09/2024,after fertilization,4.92,0.212,3/10/2024,First clip (before second split dose),5.02,0.213,29.5,15.879,15/10/2024,Measured ph and ec only ,4.92,0.313,25/10/2024,Measured ph and ec only ,4.8,1.78,3/11/2024,third dose of split fertilizer ,5.53,2.39,30.85,24.54,4/12/2024,Harvest Day,5,1.81,,,30.2,26.1,45.32,5.6,1679,
P7,L,5,UF,60,Split,3/09/2024,Before Fertilization ,30,2,6.28,0.32,6.32,8/09/2024,after fertilization,4.84,0.213,20/09/2024,after fertilization,4.94,0.213,3/10/2024,First clip (before second split dose),5.04,0.212,27.6,18.775,15/10/2024,Measured ph and ec only ,4.94,0.312,25/10/2024,Measured ph and ec only ,4.82,1.81,3/11/2024,third dose of split fertilizer ,5.42,1.98,28.95,23.7,4/12/2024,Harvest Day,4.9,1.84,,,36.3,28.8,61.04,5.5,1279,
P4,L,5,UF,30,Split,3/09/2024,Before Fertilization ,32,2,6.35,0.31,6.98,8/09/2024,after fertilization,4.6,0.212,20/09/2024,after fertilization,4.7,0.212,3/10/2024,First clip (before second split dose),4.8,0.22,36.5,14.883,15/10/2024,Measured ph and ec only ,4.7,0.32,25/10/2024,Measured ph and ec only ,4.58,0.9,3/11/2024,third dose of split fertilizer ,5.75,1.76,37.85,19.42,4/12/2024,Harvest Day,5.1,1.85,,,30.6,30.22,42.65,5.7,1279,
P3,L,5,UF,20,Split,3/09/2024,Before Fertilization ,30,2,6.34,0.29,6.41,8/09/2024,after fertilization,4.67,0.22,20/09/2024,after fertilization,4.77,0.22,3/10/2024,First clip (before second split dose),4.87,0.231,32.5,15.9443,15/10/2024,Measured ph and ec only ,4.77,0.331,25/10/2024,Measured ph and ec only ,4.65,2.01,3/11/2024,third dose of split fertilizer ,5.86,1.87,33.85,17.66,4/12/2024,Harvest Day,5.3,1.84,,,22.5,27.87,43.87,5.9,2191,
P2,L,5,UF,10,Split,3/09/2024,Before Fertilization ,27,2,6.25,0.28,5.98,8/09/2024,after fertilization,4.73,0.231,20/09/2024,after fertilization,4.83,0.231,3/10/2024,First clip (before second split dose),4.93,0.25,39.8,11.5021,15/10/2024,Measured ph and ec only ,4.83,0.35,25/10/2024,Measured ph and ec only ,4.71,1.89,3/11/2024,third dose of split fertilizer ,6.11,1.92,41.15,9.6,4/12/2024,Harvest Day,5.61,1.95,,,34.4,18.57,38.7,6.21,731,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
